jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;4579100;302,15218;11;11;3;1;3;3;3;4;2;310;2
2019;4579300;326,38556;11;11;2;0;2;6;3;4;3;430;1
2019;4579400;1080,18411;11;11;1;0;1;9;1;1;1;101;2
2019;4579500;374,31056;11;11;1;0;1;9;1;1;1;101;2
2019;4579700;776,54673;11;11;3;1;3;3;3;4;3;410;1
2019;4579800; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;4580000;497,76049;11;11;2;0;2;8;2;3;1;101;1
2019;4580300;531,25958;11;11;1;0;1;3;2;4;2;210;2
2019;4580400;634,69054;11;11;1;0;1;9;1;1;1;101;2
2019;4580500;2076,13844;11;11;4;0;4;7;2;4;2;101;2
2019;4580700;702,6298;11;11;3;0;3;4;3;4;3;310;1
2019;4580701; ;11;22;-3;-3; ;4;1;2;-1;-1; 
2019;4581200;509,53967;11;11;2;0;2;3;3;4;3;430;1
2019;4581600; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4582400;762,46373;11;11;2;0;2;9;1;1;1;101;2
2019;4582500;537,33937;11;11;2;0;2;6;3;4;3;310;2
2019;4582600;669,55201;11;11;3;1;3;3;3;4;3;430;2
2019;4582900; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4583100;553,31913;11;11;2;0;2;7;2;4;2;101;1
2019;4583200;515,59018;11;11;4;1;4;6;3;4;3;430;1
2019;4583300;498,81783;11;11;2;0;2;6;1;2;2;101;2
2019;4583800;881,01757;11;11;1;0;1;3;2;4;3;210;2
2019;4584100;720,27192;11;11;1;0;1;9;1;1;1;101;2
2019;4584200;1100,16278;11;11;1;0;1;5;2;3;3;220;2
2019;4584300;480,87082;11;11;3;0;3;1;3;4;3;430;1
2019;4584400;1498,97558;11;11;2;0;2;5;1;2;2;101;2
2019;4584600;493,9597;11;11;3;1;3;9;1;1;1;101;2
2019;4584900;2590,5977;11;11;4;0;4;9;1;1;1;101;2
2019;4585100;551,00612;11;11;1;0;1;6;3;4;3;220;2
2019;4585300;426,46755;11;11;4;2;4;4;2;4;3;410;2
2019;4585600;727,96182;11;11;1;0;1;7;2;4;2;101;2
2019;4585700;580,74369;11;11;4;2;4;2;3;4;2;410;2
2019;4585800;900,88833;11;11;1;0;1;3;2;4;3;220;1
2019;4586000;1049,46591;11;11;1;0;1;7;1;2;2;101;2
2019;4586800;328,88639;11;11;4;2;4;3;2;4;3;410;2
2019;4587000;589,60246;11;11;2;0;2;9;1;1;1;101;1
2019;4587300; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4588200;424,6322;11;11;4;2;4;3;3;4;3;310;1
2019;4588300;558,83545;11;11;1;0;1;9;1;1;1;101;2
2019;4588800;511,09562;11;11;4;2;4;6;3;4;2;310;2
2019;4589100;502,0557;11;11;3;1;3;4;2;3;3;102;2
2019;4589200;1857,09164;11;11;1;0;1;2;1;2;2;101;2
2019;4589300;495,08892;11;11;1;0;1;7;3;4;3;410;1
2019;4589400;522,09769;11;11;4;2;4;3;3;4;3;430;2
2019;4590100;474,23967;11;11;1;0;1;9;1;1;1;101;2
2019;4590300;1224,8244;11;11;2;0;2;9;1;1;1;101;2
2019;4590500;696,46746;11;11;1;0;1;4;1;2;2;101;1
2019;4590600; ;11;22;-3;-3; ;4;1;2;-1;-1; 
2019;4590800;1104,76561;11;11;2;0;2;4;3;4;3;220;1
2019;4591000;317,89548;11;11;2;0;2;3;2;4;3;220;2
2019;4591100; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4591200;483,57034;11;11;1;0;1;9;1;1;1;101;1
2019;4591500;703,58435;11;11;1;0;1;4;1;2;2;101;2
2019;4591800; ;11;21;-3;-3; ;6;3;4;-1;-1; 
2019;4591900;641,97863;11;11;4;1;4;3;3;4;3;420;2
2019;4591901;889,86556;11;11;1;0;1;6;3;4;3;420;2
