Hid;ln
4579100;2741
4579300;1388
4579400;4055
4579500;2231
4579700;2928
4580000;4594
4580300;7499
4580400;4922
4580500;4486
4580700;3616
4581200;1231
4582400;7313
4582500;8633
4582600;2908
4583100;1
4583200;3227
4583300;303
4583800;8219
4584100;395
4584200;3132
4584300;1162
4584400;7992
4584600;8082
4584900;8890
4585100;6588
4585300;8291
4585600;7356
4585700;4428
4585800;7005
4586000;1419
4586800;2640
4587000;4194
4588200;5715
4588300;2900
4588800;7448
4589100;4811
4589200;78
4589300;8982
4589400;6421
4590100;1722
4590300;4369
4590500;7558
4590800;853
4591000;2424
4591200;7640
4591500;4173
4591900;3897
4591901;7029
4592000;1880
4592400;7252
4592401;342
4592900;3758
4593300;5684
4593800;7595
4594300;4495
4594400;3308
4594500;33
4594600;6828
4594900;3608
4595400;1289
4595700;3423
4595900;7463
4596000;4204
4596300;4843
4596400;5135
4596500;708
4596600;4946
4596800;4142
4597100;2784
4597200;8133
4597300;2191
4598000;3791
4598100;4692
4598200;6532
4598500;3081
4599300;965
4599600;9259
4599800;2212
4600200;4809
4600300;8943
4600600;674
4600800;1780
4601200;2489
4601900;4392
4602000;3357
4602800;1963
4602900;1936
4603000;5078
4603100;996
4603200;1785
4603300;6395
4603400;6038
4603700;5048
4603900;7587
4604100;3696
4604200;5421
4604400;663
4604500;4439
4604900;3887
4605500;808
4605600;2614
4605800;9244
4605900;8449
4606100;4408
4606500;2630
4606800;632
4607000;5567
4607100;2492
4607300;6415
4607500;175
4607600;4094
4608200;7747
4608400;7239
4608800;7748
4609100;3437
4609200;5542
4609600;558
4609900;8267
4610000;1982
4610500;1641
4610800;2480
4611100;857
4611600;5690
4611700;15
4611701;655
4611702;7144
4611900;1732
4612000;2726
4612100;4314
4612500;3975
4612600;120
4613100;7605
4613200;3698
4613600;8848
4613700;2758
4613900;9004
4614000;489
4614100;6634
4614800;378
4614900;7093
4615400;2685
4616000;646
4616100;5989
4616700;6337
4617400;2986
4617700;4768
4617800;6704
4617900;7932
4618400;8231
4618700;3545
4618900;5128
4619000;5470
4619300;4875
4619400;1293
4619500;8878
4620300;6370
4620400;6565
4620500;8463
4620900;980
4621000;1194
4621100;2802
4621200;744
4621201;2881
4621300;4807
4622200;5464
4622300;1230
4624100;7743
4624500;1847
4625000;5417
4625100;2184
4625200;5322
4625400;963
4625800;113
4626100;6218
4626101;1668
4626200;7309
4626300;564
4626400;2411
4626500;8739
4626600;8
4627000;5476
4627100;1619
4627300;3829
4627500;1417
4627700;8575
4627701;7981
4627900;3296
4628100;1258
4628600;438
4628800;6803
4629200;2112
4630200;4279
4630300;3793
4631600;6728
4632100;1508
4632200;3292
4632300;5252
4632400;5087
4632800;9060
4632900;496
4633000;1096
4633700;2088
4633900;288
4634100;124
4634200;839
4634400;3191
4634600;6346
4634800;8414
4635400;585
4635500;6685
4635501;7744
4635600;6488
4635800;7260
4636200;6495
4636300;5424
4636301;8097
4636600;7481
4637000;7017
4637100;2918
4637300;6247
4637500;5173
4637600;6648
4637700;466
4638200;677
4638300;8870
4638500;3078
4639200;1547
4639700;7420
4639800;907
4640000;5887
4640100;3731
4640400;2064
4641200;8773
4641300;294
4641900;5965
4642400;5935
4642800;8872
4643100;1564
4643300;3412
4643400;3942
4643600;2660
4644400;4397
4644500;601
4644600;825
4645000;4964
4645100;563
4645300;8018
4645400;1170
4645500;4609
4647000;3539
4647200;1415
4647300;6021
4647701;7222
4648000;7857
4648800;7125
4648900;5590
4649200;5433
4649300;9050
4649400;6250
4649500;406
4649600;3876
4649700;5607
4650000;8572
4650300;3558
4650500;3144
4650800;5394
4651200;6679
4651400;7219
4651500;1256
4651900;8604
4652200;2775
4652400;1738
4652800;1361
4653000;5566
4653001;3438
4653100;8537
4653200;623
4653400;1110
4653500;6595
4653600;6703
4653700;2355
4653800;5302
4654100;5056
4654600;2453
4654800;1959
4655200;7822
4655400;1333
4655800;8690
4656200;1199
4656400;3297
4656500;6953
4656600;2397
4656700;4892
4657100;4648
4658000;3391
4658200;418
4658400;5194
4658900;1283
4659100;4135
4659200;6384
4659300;3613
4659400;39
4659500;2464
4659600;8760
4659700;3761
4659800;6180
4660000;3053
4660400;3813
4660500;5918
4660600;3228
4661100;8221
4661600;2944
4661900;86
4662000;937
4662700;6975
4662900;5833
4663300;1596
4663400;4000
4663900;6117
4663902;8487
4664400;6210
4664600;3274
4664800;3265
4665000;7775
4665300;1272
4665600;8258
4665700;5828
4665900;3605
4666700;5664
4666900;6133
4667000;8624
4667100;760
4667200;40
4667500;954
4667800;2155
4668000;3595
4668300;7018
4669100;698
4669400;2432
4669500;7491
4669800;157
4670000;6348
4670100;2671
4670200;1877
4670900;6896
4671000;5886
4671500;1510
4671600;8619
4672000;2963
4672100;4119
4672200;8516
4672300;6233
4672500;1157
4672600;7627
4672700;6853
4672800;1391
4672900;8716
4673200;7880
4673501;7895
4673900;4804
4674400;8772
4674500;1066
4675300;1702
4675400;2846
4675600;3149
4675700;8582
4675701;7272
4676500;4736
4676700;8279
4677000;2384
4677100;3728
4677200;4363
4677300;4801
4677800;6430
4678000;2897
4678100;4019
4678400;3206
4678600;2227
4678700;2449
4679000;1468
4679200;3442
4679400;8213
4679800;7146
4679900;6698
4680100;1374
4680200;1792
4680500;6904
4680600;521
4680700;4506
4681000;1925
4681300;5319
4681500;8090
4682000;8284
4682300;167
4683000;5453
4683100;1129
4683300;4543
4683400;7654
4683700;7052
4683800;1861
4683900;887
4684300;7386
4684700;4246
4684800;3810
4684900;4023
4685100;8274
4685200;3004
4685300;2535
4685500;7808
4685600;7668
4686000;6878
4686200;4514
4686300;9265
4686800;6955
4687100;5457
4687300;228
4687800;2460
4688800;81
4688801;8390
4688900;6296
4689000;6965
4689100;8199
4689200;3122
4689400;4622
4689600;2570
4690000;6586
4690200;4642
4690300;41
4690800;5399
4691000;5614
4691200;7845
4691500;1119
4691600;4539
4691800;4984
4691900;4100
4692200;8215
4692300;2824
4692400;2133
4692600;8399
4692601;6020
4692900;4341
4693300;5016
4693400;3721
4694300;4231
4694600;2120
4694800;3932
4695400;5189
4695600;3512
4695900;5977
4696100;2434
4696200;6558
4696201;3029
4696900;7583
4697200;3179
4697600;5314
4697700;2589
4698000;3602
4698300;4344
4698400;1799
4698500;4662
4698600;7103
4699000;1710
4699500;7710
4699600;2933
4699800;6263
4699801;45
4700000;6799
4700100;328
4700200;3612
4700300;1695
4700800;6012
4700801;651
4700900;8171
4701000;5927
4701100;408
4701200;2567
4701300;4776
4701700;3099
4702000;7467
4702100;8777
4702200;7556
4702300;1009
4702500;1831
4702800;2222
4703700;2030
4704000;7112
4704200;6647
4704300;1344
4704600;9089
4704700;6347
4705000;1227
4705200;278
4705300;7040
4705900;6014
4706000;9135
4707300;72
4707900;4796
4708100;5534
4708300;5262
4708700;6501
4708900;8020
4709500;5864
4710200;6127
4710500;7703
4710700;4002
4711200;3300
4711300;5171
4711500;6157
4711800;2420
4712000;220
4712400;4122
4712500;5387
4712800;8983
4713400;6465
4713700;2431
4713800;6680
4713900;8417
4714000;7999
4714300;2256
4714900;5751
4715200;4375
4715201;84
4715400;3599
4715500;5577
4715800;6447
4715900;2989
4716100;3853
4716300;232
4716400;8240
4716500;7011
4716700;9195
4717700;2627
4717900;4958
4718100;2615
4718400;6978
4718500;357
4718800;1584
4718900;4137
4719100;7991
4719300;2271
4719600;3496
4719700;3238
4720200;4584
4720600;7768
4720700;763
4721000;9105
4721200;9256
4721300;8815
4721400;6915
4721800;4180
4722000;3707
4722100;6489
4722200;3901
4722500;1614
4722700;7399
4723000;930
4723200;6784
4723600;8493
4723900;579
4724000;6156
4724500;2083
4724900;2731
4725000;8285
4725200;2195
4725500;7839
4725800;7667
4726400;1507
4726600;847
4726700;7740
4726900;508
4727000;3719
4727300;4799
4728600;6590
4728900;657
4729000;8046
4729300;5334
4729800;8559
4730500;6034
4730800;5537
4731400;5330
4731500;30
4732500;7541
4732600;7019
4732800;3525
4733200;6036
4733500;1390
4734200;6894
4734500;2093
4734800;5689
4734900;7753
4735500;7714
4735700;856
4736000;3774
4736100;7752
4736400;7065
4736500;8043
4736700;176
4736800;1568
4737000;7310
4737400;3371
4737600;2582
4738400;3654
4738600;7831
4739200;2695
4739300;2592
4740100;6949
