jahr;Hid;pid;ln;pkzqu;lnpkzqu;hgew;alter;sex;rl070;K001010;K001020;K001030;K001060;K001070;K001080;K002010;K002020;K002030;K002060;K002070;K002080;K003000;K004000;K005000;K006000;K007000;K008000;K008010;K009000;K009010;K013010;K013020;K013030;K013040;K013050;k011000nu;k012000nu;K015000
2019;4579100;457910003;2741;3;274103;302,15218;11;1;325,48939;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;10;4;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4579700;457970003;2928;3;292803;776,54673;6;1;829,9745;-3;1;2;2;2;2;-3;25;-3;-3;-3;-3;-3;-3;2;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4582600;458260003;2908;3;290803;669,55201;7;2;582,21853;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;22;1;15;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4583200;458320004;3227;4;322704;515,59018;13;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;5;30;2;-3;1;1;1;1;1;1;1;-3
2019;4584600;458460003;8082;3;808203;493,9597;1;1;455,40474;1;2;-3;2;2;1;30;-3;-3;-3;-3;3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4585300;458530003;8291;3;829103;426,46755;10;1;432,78245;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;6;5;24;1;12;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4585300;458530004;8291;4;829104;426,46755;8;1;370,84096;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;6;1;24;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4585700;458570003;4428;3;442803;580,74369;5;1;620,69987;-3;1;-3;2;2;1;-3;25;-3;-3;-3; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4585700;458570004;4428;4;442804;580,74369;3;2;679,28043;2;2;-3;2;2;1;-3;-3;-3;-3;-3; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4586800;458680003;2640;3;264003;328,88639;11;1;354,28846;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;10;4;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4586800;458680004;2640;4;264004;328,88639;8;2;285,98786;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;14;1;24;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4588200;458820003;5715;4;571504;424,6322;1;1;391,48846;2;2;-3;2;2;1;-3;-3;-3;-3;-3;10;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4588200;458820004;5715;3;571503;424,6322;10;2;430,91993;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;3;6;26;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4588800;458880003;7448;3;744803;511,09562;15;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;5;25;2;-3;1;1;1;1;1;1;1;2004
2019;4588800;458880004;7448;4;744804;511,09562;7;1;444,43051;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;20;1;10;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4589100;458910003;4811;3;481103;502,0557;7;1;492,61211;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;20;1;2;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4589400;458940003;6421;3;642103;522,09769;4;2;610,68377;-3;1;-3;2;2;1;-3;20;-3;-3;-3;7;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4589400;458940004;6421;4;642104;522,09769;1;2;590,72367;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;10;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4591900;459190005;3897;4;389704;641,97863;8;2;558,2417;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;21;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4593300;459330003;5684;3;568403;636,30906;1;2;719,9473;1;-3;-3;2;2;1; ;-3;-3;-3;-3;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4594300;459430003;4495;3;449503;763,20698;2;1;557,82385;2;1;-3;2;1;1;-3;20;-3;-3;4;4;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4594300;459430004;4495;4;449504;763,20698;0;2;863,52504;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;4;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4594900;459490003;3608;3;360803;811,74284;2;1;593,29844;2;2;-3;2;2;1;-3;-3;-3;-3;-3;18;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4598000;459800003;3791;3;379103;495,24804;12;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;35;2;-3;1;3;1;1;1;1;1;-3
2019;4598000;459800004;3791;4;379104;495,24804;9;2;454,85542;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;25;1;5;-3;-3;-3;-3;-3;1;3;1;1;1;1;1;-3
2019;4598100;459810003;4692;3;469203;494,5752;10;1;501,89861;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;1;24;1;6;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4599800;459980004;2212;4;221204;436,89389;14;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;7;38;2;-3;1;1;1;1;1;1;1;-3
2019;4599800;459980005;2212;5;221205;436,89389;10;1;470,6381;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;4;31;1;10;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4600200;460020002;4809;2;480902;313,78116;12;1; ;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;5;4;31;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4600800;460080003;1780;3;178003;361,15695;10;1;366,50476;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;4;25;1;9;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4600800;460080004;1780;4;178004;361,15695;2;2;332,96762;2;2;-3;1;2;2;-3;-3;-3;20;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4602900;460290003;1936;3;193603;528,37858;9;1;536,20252;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;7;1;25;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4602900;460290004;1936;4;193604;528,37858;7;1;518,43986;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;7;1;20;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4603400;460340004;6038;3;603803;523,61635;15;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;6;36;2;-3;1;1;1;1;1;1;1;-3
2019;4603400;460340005;6038;4;603804;523,61635;10;2;564,0587;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;12;1;25;1;12;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4605800;460580003;9244;3;924403;748,43107;8;2;650,80894;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;23;1;3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4607000;460700004;5567;4;556704;1848,86333;5;1;2067,61435;-3;1;-3;2;2;1;-3;20;-3;-3;-3;15;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4607000;460700005;5567;5;556705;1848,86333;1;1;2091,8831;2;-3;-3;1;2;2;-3;-3;-3;20;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4607000;460700006;5567;6;556706;1848,86333;1;1;2091,8831;2;-3;-3;1;2;1;-3;-3;-3;20;-3;15;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4607100;460710005;2492;5;249205;824,27347;11;1;824,89944;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;10;5;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4608400;460840003;7239;3;723903;494,19937;8;2;453,89229;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;3;1;24;1;5;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4608400;460840004;7239;4;723904;494,19937;5;1;528,20116;-3;1;-3;2;2;1;-3;25;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4609900;460990003;8267;3;826703;605,64457;7;1;594,25249;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;8;1;22;1;3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4609900;460990004;8267;4;826704;605,64457;1;2;685,25218;2;-3;-3;1;2;1;-3;-3;-3;35;-3;8;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4611100;461110003;857;3;85703;580,87658;15;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;4;30;2;-3;1;1;1;1;1;1;1;-3
2019;4611600;461160005;5690;5;569005;665,26387;4;1;743,97556;-3;1;-3;2;1;1;-3;20;-3;-3;5;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;2;1;1;1;-3;1;1;-3
2019;4611600;461160006;5690;6;569006;665,26387;1;1;752,70802;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;3;-3;-3;-3;-3;-3;-3;-3;-3;-3;2;1;1;1;-3;1;1;-3
2019;4612600;461260003;120;3;12003;602,94275;10;2;649,512;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;5;5;21;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4613700;461370003;2758;3;275803;617,26446;15;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;4;30;2;-3;1;1;1;1;1;1;1;-3
2019;4614000;461400004;489;4;48904;962,26523;15;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;7;33;2;-3;1;3;3;1;1;1;1;-3
2019;4614100;461410003;6634;3;663403;660,63819;7;2;574,46739;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;2;1;22;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4614100;461410004;6634;4;663404;660,63819;5;1;738,80258;-3;1;-3;2;2;1;-3;20;-3;-3;-3;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4614100;461410005;6634;5;663405;660,63819;0;2;747,47432;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
