"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","BG",32,"2","2011","30",7846,7080,0,0,,,,,,,,,0,0,0,0,0,,0,,0,767,0,,0,,"NA","3","NA","1","1","1","1","1","1","1","1","1","1022.6","1","NA","2","2","2","1","4","1","2","2","1","NA","153.39","53.69","0","1","1",,"1",1,,,,,
"2011","BG",41,"3","2011","40",1792,1774,0,0,,,,,,,,,0,0,0,0,0,,0,,0,17,0,,0,,"NA","2","3","2","1","2","1","1","3","1","2","3","511.3","2","NA","2","2","2","2","4","1","4","2","2","NA","102.26","51.13","0","1","1",,"1",1,,,,,
"2011","BG",53,"2","2011","35",671,655,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,15,,"NA","3","NA","2","2","2","1","1","1","1","1","2","818.08","2","NA","2","2","2","2","1","5","4","2","1","NA","255.65","61.36","0","1","3",,"1",1,,,,,
"2011","BG",63,"2","2011","75",1674,1615,0,0,,,,,,,,,0,0,0,0,0,,0,,0,59,0,,0,,"NA","3","NA","2","2","1","1","1","3","1","1","4","1022.6","2","NA","2","1","2","1","4","1","4","2","2","NA","102.26","145.72","0","1","1",,"1",1,,,,,
"2011","BG",72,"2","2011","60",734,734,0,0,,,,,,,,,0,0,81,0,0,,0,,0,1,0,,0,,"NA","3","NA","2","2","1","1","1","1","1","2","2","409.04","1","NA","2","2","2","2","1","1","2","2","1","NA","25.56","102.26","0","1","2",,"1",1,,,,,
"2011","BG",79,"2","2011","35",1847,1834,0,0,,,,,,,,,0,0,0,0,137,,0,,0,13,0,,0,,"NA","3","NA","1","2","2","1","1","2","1","3","3","2556.5","2","NA","2","2","2","2","1","1","4","2","1","NA","153.39","89.48","6.39","1","1",,"1",1,,,,,
"2011","BG",96,"2","2011","20",5206,4936,0,0,,,,,,,,,0,0,0,0,0,,0,,0,7,0,,263,,"NA","3","NA","1","1","1","1","1","2","3","1","3","511.3","1","NA","2","2","2","2","1","1","5","2","2","NA","51.13","94.59","0","1","1",,"1",1,,,,,
"2011","BG",108,"2","2011","20",1101,1097,0,0,,,,,,,,,0,0,0,0,0,,0,,0,4,0,,0,,"3","3","NA","2","1","2","1","1","3","1","1","3","766.95","2","NA","2","2","2","1","4","1","3","2","2","NA","127.82","44.48","0","1","2",,"1",1,,,,,
"2011","BG",113,"2","2011","20",2793,2773,0,0,,,,,,,,,0,0,0,0,0,,0,,0,20,0,,0,,"NA","3","NA","1","1","1","1","1","2","2","3","3","434.6","1","NA","2","2","2","1","1","1","5","2","2","NA","25.56","32.21","0","1","3",,"1",1,,,,,
"2011","BG",115,"2","2011","60",1767,1742,0,0,,,,,,,,,0,0,0,0,0,,0,,0,3,0,,22,,"NA","3","NA","2","1","2","1","1","2","1","3","5","1278.25","2","NA","2","2","2","1","2","1","2","2","1","NA","102.26","84.36","0","3","1",,"1",1,,,,,
