"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","LV",5,"2","2011","5",7013,7007,0,0,,,,,,,,,0,0,0,195,0,,0,,0,0,4,,2,,"NA","3","NA","2","2","2","1","2","2","1","1","5","282.21","1","NA","2","1","1","2","1","1","3","2","2","NA","NA","63.5","0","1","3",,"1",1,,,,,
"2011","LV",17,"2","2011","21",21207,19735,0,0,,,,,,,,,0,0,0,0,12012,,0,,0,17,0,,1455,,"NA","3","NA","2","1","1","1","1","1","1","1","3","1411.03","1","NA","2","2","1","2","4","1","3","2","1","NA","NA","395.09","0","1","1",,"1",1,,,,,
"2011","LV",35,"2","2011","16",3762,1295,0,0,,,,,,,,,0,0,0,0,465,,0,,0,2466,0,,0,,"2","2","NA","1","1","2","1","1","1","1","1","4","705.52","1","NA","2","2","2","2","4","3","2","2","1","70.55","NA","141.1","115.76","1","1",,"1",1,,,,,
"2011","LV",37,"3","2011","25",3728,3707,0,0,,,,,,,,,0,0,0,0,0,,0,,0,6,0,,14,,"3","3","NA","1","1","1","1","1","1","1","1","3","2116.55","2","2","2","2","1","2","4","3","3","1","1","NA","NA","395.09","24.28","1","1",,"1",1,,,,,
"2011","LV",42,"2","2011","6",2975,2876,0,0,,,,,,,,,0,0,0,0,0,,0,,0,10,0,,90,,"1","3","NA","2","2","1","1","1","1","1","1","2","NA","3","NA","2","2","1","1","1","3","5","1","1","NA","NA","NA","88.74","1","1",,"1",1,,,,,
"2011","LV",56,"1","2011","9",3515,3500,0,0,,,,,,,,,0,0,0,664,0,,0,,0,1,0,,13,,"2","3","NA","2","1","1","1","1","1","1","1","1","1693.24","2","NA","2","2","2","2","4","1","2","2","2","NA","NA","211.66","0","1","1",,"1",1,,,,,
"2011","LV",66,"2","2011","11",2162,-4840,0,0,,,,,,,,,0,0,0,0,0,,0,,0,7002,0,,0,,"3","3","NA","1","2","1","1","1","1","1","3","1","1411.03","3","NA","2","1","2","2","4","2","3","1","1","NA","NA","112.88","77.3","1","1",,"1",1,,,,,
"2011","LV",74,"2","2011","4",3776,3751,0,0,,,,,,,,,0,0,0,0,0,,0,,0,25,0,,0,,"NA","1","NA","1","2","2","1","2","1","1","1","3","1411.03","1","NA","2","2","2","1","1","2","2","2","1","NA","NA","2.82","0","1","1",,"1",1,,,,,
"2011","LV",123,"3","2011","9",7478,7465,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,12,,"NA","3","3","1","1","2","1","1","3","1","2","2","987.72","2","NA","2","2","2","2","4","5","2","2","1","NA","NA","NA","0","3","2",,"1",1,,,,,
"2011","LV",144,"2","2011","7",5716,5002,0,0,,,,,,,,,0,0,3314,0,0,,0,,0,64,0,,650,,"NA","2","NA","2","1","2","1","1","1","1","1","1","2116.55","2","NA","2","2","2","2","4","1","1","2","1","NA","NA","84.66","0","1","1",,"1",1,,,,,
"2011","LV",152,"2","2011","5",3467,2741,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,726,,"3","3","NA","2","1","2","1","2","1","1","1","3","493.86","2","NA","1","2","2","2","4","5","2","2","2","NA","NA","146.75","0","1","1",,"1",1,,,,,
"2011","LV",165,"2","2011","6",3538,3537,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,0,,"NA","2","3","1","1","2","1","1","1","3","1","4","1128.83","2","NA","2","1","2","2","1","1","6","2","1","NA","NA","215.59","0","1","1",,"1",1,,,,,
"2011","LV",171,"2","2011","10",2477,2454,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,23,,"NA","2","NA","1","1","1","1","1","1","1","1","3","1834.34","1","NA","1","2","1","2","2","1","2","1","1","77.61","NA","526.26","0","1","1",,"1",1,,,,,
"2011","LV",172,"2","2011","5",3655,3635,0,0,,,,,,,,,0,0,0,757,0,,0,,0,0,2,,18,,"NA","3","3","2","1","2","1","1","1","1","2","3","846.62","2","2","2","2","2","2","1","1","4","2","1","NA","NA","192.42","115.18","1","1",,"1",1,,,,,
"2011","LV",185,"2","2011","11",2631,2532,0,0,,,,,,,,,0,0,0,0,340,,0,,0,0,99,,0,,"NA","3","NA","2","1","2","1","1","1","1","2","1","705.52","2","NA","2","2","1","1","1","2","2","2","1","NA","NA","107.94","0","3","3",,"1",1,,,,,
"2011","LV",187,"2","2011","8",4551,4507,0,0,,,,,,,,,0,0,88,0,0,,0,,0,2,0,,41,,"NA","2","2","2","1","2","1","1","1","3","1","3","1128.83","2","2","2","1","2","2","1","1","3","2","1","NA","NA","47.98","0","3","1",,"1",1,,,,,
"2011","LV",189,"3","2011","8",2985,1597,0,0,,,,,,,,,0,0,0,0,0,,0,,0,122,489,,776,,"NA","2","NA","2","1","2","1","1","3","1","1","2","493.86","2","NA","2","2","2","1","1","1","4","2","1","NA","NA","42.33","66.63","3","1",,"1",1,,,,,
"2011","LV",190,"2","2011","10",4515,3957,0,0,,,,,,,,,0,0,0,0,0,,0,,0,559,0,,0,,"3","3","NA","2","2","1","1","1","1","1","3","2","2822.07","1","NA","2","2","2","2","1","1","6","2","1","NA","NA","211.66","0","1","1",,"1",1,,,,,
"2011","LV",193,"2","2011","10",3787,3276,0,0,,,,,,,,,0,0,0,0,872,,0,,0,34,157,,320,,"2","3","3","2","1","1","1","1","1","2","3","1","1128.83","2","1","2","2","2","2","4","3","4","2","1","74.78","NA","313.83","0","1","3",,"1",1,,,,,
"2011","LV",216,"2","2011","3",3531,3514,0,0,,,,,,,,,0,0,0,0,0,,0,,0,16,0,,0,,"NA","3","3","2","2","2","1","1","1","1","1","2","423.31","2","2","2","2","1","2","4","1","2","2","2","NA","NA","176.38","0","3","1",,"1",1,,,,,
"2011","LV",229,"2","2011","NA",2537,975,0,0,,,,,,,,,0,0,0,0,0,,0,,0,102,0,,1460,,"3","2","NA","1","2","2","1","3","1","1","2","2","2539.86","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","NA","0","1","1",,"1",1,,,,,
"2011","LV",239,"2","2011","8",12840,9828,0,0,,,,,,,,,0,0,0,0,0,,0,,0,67,2743,,202,,"NA","3","NA","2","1","2","1","1","3","1","1","2","423.31","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","126.99","0","1","3",,"1",1,,,,,
"2011","LV",240,"2","2011","15",2653,2652,0,0,,,,,,,,,0,0,587,293,440,,0,,0,0,0,,0,,"NA","3","NA","1","1","2","3","1","2","1","2","4","211.66","1","NA","2","2","1","2","4","1","2","2","1","NA","NA","169.32","0","1","2",,"1",1,,,,,
"2011","LV",254,"2","2011","4",1357,1419,0,0,,,,,,,,,0,0,0,0,0,,0,,0,47,0,,-109,,"NA","2","NA","1","1","2","1","1","1","2","3","1","1693.24","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","NA","0","1","1",,"1",1,,,,,
"2011","LV",256,"2","2011","7",3043,2241,0,0,,,,,,,,,0,0,0,0,0,,0,,0,802,0,,0,,"NA","3","NA","1","1","2","1","1","3","1","1","4","423.31","1","NA","2","2","2","2","1","4","1","2","1","70.55","NA","98.77","0","1","1",,"1",1,,,,,
"2011","LV",280,"2","2011","11",2583,-847,0,0,,,,,,,,,0,0,0,0,0,,0,,0,158,0,,3272,,"NA","3","NA","1","1","1","1","1","1","1","1","1","423.31","1","2","2","2","2","2","4","3","4","2","1","98.77","NA","112.88","0","1","1",,"1",1,,,,,
"2011","LV",288,"2","2011","12",4187,4164,0,0,,,,,,,,,0,0,0,0,124,,0,,0,0,0,,23,,"NA","2","NA","2","2","1","1","1","1","1","1","2","846.62","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","76.2","0","1","1",,"1",1,,,,,
"2011","LV",289,"2","2011","7",5101,2683,0,0,,,,,,,,,0,0,0,0,0,,0,,0,332,2086,,0,,"NA","NA","NA","2","2","2","1","1","1","1","1","3","1693.24","1","NA","2","2","1","2","1","3","2","2","1","NA","NA","141.1","0","1","1",,"1",1,,,,,
"2011","LV",323,"2","2011","8",261,-111,0,0,,,,,,,,,0,0,261,0,0,,0,,0,372,0,,0,,"2","3","NA","2","1","2","1","1","1","1","1","1","183.43","1","3","2","2","1","1","4","1","2","1","1","NA","NA","77.61","0","3","1",,"1",1,,,,,
"2011","LV",329,"2","2011","4",3339,3082,0,0,,,,,,,,,0,0,0,0,0,,0,,0,257,0,,0,,"NA","2","NA","2","1","2","1","1","1","1","1","4","1411.03","2","3","2","2","2","1","1","5","4","2","1","NA","NA","NA","0","1","3",,"1",1,,,,,
"2011","LV",334,"2","2011","9",1452,249,0,0,,,,,,,,,0,0,0,0,0,,0,,0,21,0,,1181,,"NA","3","NA","2","1","2","1","1","1","1","3","1","423.31","1","1","2","2","1","2","3","1","2","2","1","38.1","NA","NA","0","1","1",,"1",1,,,,,
"2011","LV",339,"2","2011","NA",6437,6144,0,0,,,,,,,,,0,0,434,0,0,,0,,0,293,0,,0,,"3","3","3","1","1","2","1","1","1","1","1","1","1411.03","2","1","2","2","2","2","4","1","3","2","1","NA","NA","192.42","115.18","1","1",,"1",1,,,,,
"2011","LV",342,"2","2011","11",4950,4921,0,0,,,,,,,,,0,0,0,228,0,,0,,0,29,0,,0,,"NA","2","NA","1","2","2","1","1","2","1","2","3","705.52","1","NA","2","2","1","2","1","3","4","2","1","NA","NA","197.54","0","3","1",,"1",1,,,,,
"2011","LV",347,"2","2011","15",2617,2607,0,0,,,,,,,,,0,0,0,0,0,,0,,0,10,0,,0,,"NA","2","NA","2","2","2","1","1","1","1","3","2","2116.55","3","NA","2","2","2","2","1","5","4","2","1","NA","NA","70.55","0","3","1",,"1",1,,,,,
"2011","LV",359,"2","2011","20",5681,5543,0,0,,,,,,,,,0,0,1141,0,0,,0,,0,139,0,,0,,"3","3","3","1","1","2","1","1","1","1","2","1","846.62","2","2","2","2","2","1","1","1","3","2","1","NA","NA","105.83","0","3","3",,"1",1,,,,,
"2011","LV",371,"2","2011","5",238,-3458,0,0,,,,,,,,,0,0,0,238,0,,0,,0,3696,0,,0,,"NA","3","3","1","1","2","1","1","1","1","2","2","423.31","2","3","2","2","2","2","4","2","3","2","1","28.22","NA","270.65","0","1","3",,"1",1,,,,,
"2011","LV",383,"2","2011","4",2613,1359,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1254,0,,0,,"NA","3","NA","2","1","2","1","1","1","1","3","1","705.52","3","NA","1","2","2","2","4","2","2","2","2","NA","NA","126.99","88.74","1","1",,"1",1,,,,,
"2011","LV",384,"2","2011","45",9816,6091,0,0,,,,,,,,,0,0,0,39,0,,0,,0,0,0,,3725,,"NA","3","NA","2","1","2","1","1","1","2","1","3","564.41","2","NA","2","2","2","2","1","5","4","2","2","NA","NA","49.39","0","1","1",,"1",1,,,,,
"2011","LV",406,"2","2011","5",2505,2459,0,0,,,,,,,,,0,0,0,0,0,,0,,0,47,0,,0,,"NA","2","NA","2","1","2","1","1","3","1","3","1","141.1","3","NA","2","2","2","2","4","1","3","1","1","NA","NA","284.76","65.73","1","1",,"1",1,,,,,
"2011","LV",427,"2","2011","8",8283,8269,0,0,,,,,,,,,0,0,0,0,0,,0,,0,14,0,,0,,"NA","3","3","2","1","1","1","1","1","1","1","1","1411.03","2","1","2","2","1","2","4","1","4","2","1","NA","NA","192.42","115.18","1","3",,"1",1,,,,,
"2011","LV",430,"2","2011","9",3666,3662,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,3,,1,,"2","3","3","2","2","2","1","1","2","1","1","2","1411.03","1","NA","2","2","2","1","4","2","5","2","2","NA","NA","102.3","0","1","1",,"1",1,,,,,
"2011","LV",441,"2","2011","4",24333,24303,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,29,,"NA","3","NA","1","1","2","1","1","2","1","1","2","1411.03","1","NA","2","2","1","2","4","2","2","2","2","98.77","NA","141.1","0","1","1",,"1",1,,,,,
"2011","LV",474,"2","2011","5",9258,8164,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1011,0,,84,,"NA","2","NA","1","1","1","1","1","1","1","1","3","1269.93","1","NA","2","2","1","2","4","1","2","2","1","NA","NA","70.55","0","1","1",,"1",1,,,,,
"2011","LV",476,"3","2011","21",7397,6079,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1318,0,,0,,"NA","3","NA","1","1","2","1","1","2","1","3","1","1128.83","1","2","2","2","2","2","1","1","2","1","2","NA","NA","42.33","0","1","1",,"1",1,,,,,
"2011","LV",480,"2","2011","12",3713,3681,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,31,,0,,"NA","3","NA","2","1","2","1","1","1","1","1","4","564.41","1","NA","2","2","2","2","1","2","4","2","2","NA","NA","211.66","0","1","3",,"1",1,,,,,
"2011","LV",483,"2","2011","8",4048,4036,0,0,,,,,,,,,0,0,0,337,0,,0,,0,0,0,,12,,"NA","3","NA","1","1","2","1","1","1","1","1","2","423.31","1","NA","2","2","2","2","4","1","2","2","1","16.93","NA","111.47","0","1","1",,"1",1,,,,,
"2011","LV",496,"2","2011","6",2899,2180,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,719,,"2","3","1","2","1","2","1","1","1","3","1","2","423.31","2","NA","2","1","2","2","1","1","4","2","1","NA","NA","49.39","0","1","1",,"1",1,,,,,
"2011","LV",503,"3","2011","12",4983,4939,0,0,,,,,,,,,0,0,0,0,0,,0,,0,44,0,,0,,"NA","3","NA","2","2","2","1","1","1","1","1","1","1411.03","1","NA","2","1","2","2","4","1","4","2","2","NA","NA","121.35","0","1","1",,"1",1,,,,,
"2011","LV",504,"2","2011","16",7227,7221,0,0,,,,,,,,,0,0,0,0,4241,,0,,0,0,0,,6,,"NA","3","NA","2","1","2","1","1","1","1","2","3","176.38","3","NA","2","2","2","2","4","1","3","1","1","14.11","NA","70.55","0","1","1",,"1",1,,,,,
"2011","LV",509,"2","2011","8",2957,2941,0,0,,,,,,,,,0,0,0,0,300,,0,,0,1,0,,15,,"3","NA","NA","1","1","2","1","1","1","1","1","1","1693.24","1","NA","1","2","2","2","4","1","4","2","1","NA","NA","35.28","0","1","3",,"1",1,,,,,
"2011","LV",512,"2","2011","3",4837,4164,0,0,,,,,,,,,0,0,0,0,0,,0,,0,673,0,,0,,"NA","3","NA","1","2","1","1","1","1","1","1","2","2539.86","2","NA","2","1","2","1","1","4","2","1","1","NA","NA","70.55","0","1","1",,"1",1,,,,,
"2011","LV",520,"2","2011","13",2014,1192,0,0,,,,,,,,,0,0,0,0,0,,0,,0,822,0,,0,,"NA","3","NA","1","1","2","1","1","1","1","1","3","1411.03","2","NA","2","1","1","2","1","1","5","2","1","NA","NA","183.43","0","1","1",,"1",1,,,,,
"2011","LV",521,"2","2011","12",11342,10425,0,0,,,,,,,,,0,0,0,823,0,,0,,0,916,0,,0,,"NA","3","NA","1","1","2","1","1","1","1","1","3","846.62","2","1","2","2","2","2","4","1","6","2","1","NA","NA","91.72","0","1","1",,"1",1,,,,,
"2011","LV",528,"2","2011","11",1430,1427,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3,,"NA","3","NA","2","2","2","1","1","3","1","2","4","846.62","1","1","2","2","1","2","4","1","3","2","2","NA","NA","126.99","0","1","1",,"1",1,,,,,
"2011","LV",549,"2","2011","9",9702,9669,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,31,,"NA","3","NA","2","1","2","1","1","1","1","1","1","634.97","3","NA","2","2","2","2","1","5","2","2","1","NA","NA","169.32","0","1","3",,"1",1,,,,,
"2011","LV",588,"3","2011","13",3043,3023,0,0,,,,,,,,,0,0,0,312,0,,0,,0,19,0,,0,,"3","3","NA","2","1","2","1","1","2","1","2","2","2539.86","2","NA","2","2","1","2","3","2","3","2","1","NA","NA","126.99","0","3","1",,"1",1,,,,,
"2011","LV",604,"2","2011","5",2666,2372,0,0,,,,,,,,,0,0,0,0,0,,0,,0,7,268,,20,,"3","2","NA","2","1","2","1","1","1","1","3","3","846.62","1","NA","2","2","2","2","1","3","4","2","1","NA","NA","77.61","0","1","3",,"1",1,,,,,
