gender;age;bundesland;w1_dte;w1_q1;w1_q2_level1;w1_q2_level2;w1_q2_level3;w1_q3;w1_q4;w1_q5x1;w1_q5x2;w1_q5x3;w1_q5x4;w1_q5x5;w1_q6;w1_q7;w1_q8x1;w1_q8x2;w1_q8x3;w1_q8x4;w1_q10x1;w1_q10x2;w1_q10x3;w1_q10x4;w1_q10x5;w1_q10x6;w1_q12;w1_q13;w1_q14;w1_q16;w1_q17x1;w1_q17x2;w1_q17x3;w1_q17x4;w1_q17x5;w1_q19x1;w1_q19x2;w1_q19x3;w1_q19x4;w1_q19x5;w1_q19x6;w1_q19x7;w1_q19x8;w1_q20;w1_q21;w1_q23;w1_q24;w1_sd3;w1_sd5r;w1_sd6;w1_sd7;w1_sd8;w1_sd9;w1_sd10;w1_sd12;w1_sd15r;w1_sd16;w1_sd17;w1_sd21r;w1_jw;popnum
Female;62;Lower Austria;136;2;welfare state;health system;health care system (general);2;4;3;4;2;2;1;2;3;1;2;2;2;1;1;2;3;3;88;5;1;NA;2;2;5;3;1;4;5;4;4;5;3;5;2;2;TRUE;2;10;ÖVP;yes;Austria;vocational training/school;2,400 up to 2,700;retired;NA;NA;employee;Roman-Catholic church;once a week;no;3;no;10.000-
Female;82;Lower Austria;135;2;welfare state;welfare state (gen.);living standard / quality of life in Austria (general);2;3;4;2;4;2;2;3;3;2;2;2;3;1;3;3;4;2;88;5;1;NA;2;3;88;2;2;1;4;3;3;88;3;2;88;3;FALSE;88;10;SPÖ;yes;Austria;vocational training/school;3,000 up to 3,300;retired;NA;NA;employee;Roman-Catholic church;at least once a month;no;2;no;5.000-
Male;64;Vorarlberg;123;2;politics;election campaign;profiles of parties;3;3;1;3;3;5;1;2;3;2;2;2;3;1;2;2;4;1;4;5;2;1;3;3;5;3;2;5;4;1;2;5;5;4;1;2;FALSE;4;5;Greens;yes;Austria;primary school/secondary education first stage;1,650 up to 1,800;retired;NA;NA;public official;Roman-Catholic church;at least once a month;yes;2;no;10.000-
Female;73;Lower Austria;101;2;immigration;asylum/refugees;asylum / admission of refugees;3;3;3;1;3;1;3;4;3;1;1;2;2;1;5;1;1;1;5;5;2;1;3;1;1;1;1;5;2;1;5;3;1;1;3;1;FALSE;4;10;ÖVP;yes;Austria;vocational middle school ;3,000 up to 3,300;retired;NA;NA;civil servant;Roman-Catholic church;never;no;2;no;5.000-
Female;50;Styria;78;3;infrastructure;infrastructure (gen.);traffic / mobility (general);4;4;3;4;3;3;3;2;3;2;2;2;2;1;2;3;3;2;5;88;1;NA;2;3;2;4;1;4;3;3;5;3;5;1;3;2;FALSE;3;10;SPÖ;yes;Austria;vocational middle school ;1,950 up to 2,100;employed;employed, more than 35h weekly;1;NA;Protestant church;at least once a month;no;1;no;50.000-
Male;17;Vorarlberg;78;3;immigration;asylum/refugees;asylum / admission of refugees;3;3;1;5;2;2;3;2;3;1;1;1;3;1;4;4;2;1;5;3;1;NA;3;5;1;1;1;4;2;2;4;1;5;1;1;1;TRUE;2;5;ÖVP;yes;Austria;primary school/secondary education first stage;don't know;other training;NA;NA;NA;Roman-Catholic church;less often;no;3;yes;<2.500
Female;55;Upper Austria;76;3;immigration;asylum/refugees;asylum / admission of refugees;3;3;3;1;3;2;2;3;4;1;1;1;3;2;4;4;2;2;4;7;1;NA;2;5;1;2;3;5;2;2;4;3;1;2;2;3;TRUE;2;8;FPÖ;yes;Austria;vocational middle school ;refused;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;less often;yes;2;no;<2.500
Male;57;Tyrol;76;1;economy;job market/unemployment;unemployment (general);2;3;1;5;3;5;3;2;2;1;4;1;1;2;3;3;5;5;3;3;1;NA;2;1;5;5;1;3;5;3;3;5;5;5;4;2;FALSE;3;10;SPÖ;yes;Austria;university-related college ;2,700 up to 3,000;unemployed or seeking for work;NA;NA;freelance worker;none;less often;no;2;no;2.500-
Female;67;Vorarlberg;76;2;economy;economy (gen.);"combatting inflation / price increase; maintaining purchasing power / price stability";2;2;4;5;5;5;1;2;4;1;1;1;2;1;2;3;4;2;5;3;1;NA;2;5;4;2;2;5;5;4;2;5;1;5;5;1;FALSE;3;10;ÖVP;yes;Austria;vocational training/school;2,100 up to 2,250;retired;NA;NA;self-employed with employees;Roman-Catholic church;less often;no;1;no;10.000-
Male;59;Burgenland;76;1;economy;job market/unemployment;unemployment (general);2;3;1;4;2;5;1;1;2;1;1;1;2;3;1;3;4;5;2;4;1;NA;2;2;3;5;2;3;2;3;3;5;5;5;3;3;FALSE;3;10;SPÖ;yes;Austria;AHS with diploma;3,300 up to 3,600;employed;employed, more than 35h weekly;5;NA;none;less often;no;3;no;2.500-
