"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20191","03891244","1","0","1","195","D","1","D","11","D","260","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891244","2","0","2","120","D","1","D","10","D","86","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891704","1","0","1","100","D","1","D","11","D","1495","D","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891704","2","0","1","180","D","1","D","12","D","379","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891864","1","0","1","195","D","1","D","10","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891864","2","0","1","195","D","1","D","10","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892024","1","0","1","100","D","1","D","10","D","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892084","1","0","1","120","D","1","D","11","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","1","0","1","195","D","1","D","12","D","1295","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893484","1","0","1","140","D","1","D","10","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894104","1","0","1","195","D","1","D","11","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894244","1","0","1","140","D","1","D","12","D","582","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894244","2","0","1","140","D","1","D","12","D","684","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894914","1","0","1","140","D","1","D","10","D","708","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895324","1","0","2","100","D","1","D","10","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895334","1","0","1","195","D","1","D","12","D","480","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895944","1","0","1","195","D","1","D","10","D","4400","D","","A","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896234","1","0","2","180","D","1","D","10","D","112","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896364","1","0","1","120","D","1","D","11","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896844","1","0","1","120","D","1","D","10","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896844","2","0","1","195","D","1","D","11","D","750","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897524","1","0","1","220","D","1","D","12","D","","H","","A","","A","220","D","120","D","","A","","A","","A","","A","","A","","A","","A"
"20191","03897524","1","1","1","120","D","1","D","12","D","86","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897584","1","0","1","220","D","3","D","10","D","","H","","A","","A","100","D","140","D","","A","","A","","A","","A","","A","","A","","A"
"20191","03897584","1","1","1","100","D","3","D","10","D","369","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897584","1","2","1","140","D","3","D","10","D","656","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897904","1","0","1","195","D","1","D","10","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898384","1","0","1","140","D","1","D","11","D","1700","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898934","1","0","2","120","D","1","D","10","D","322","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899314","1","0","1","195","D","1","D","12","D","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899544","1","0","1","195","D","1","D","11","D","850","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900124","1","0","1","195","D","1","D","11","D","321","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900394","1","0","2","195","D","1","D","10","D","1300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900484","1","0","1","195","D","1","D","11","D","482","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900484","2","0","1","120","D","1","D","11","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900824","1","0","2","120","D","1","D","10","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901674","1","0","1","140","D","1","D","11","D","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901824","1","0","1","220","D","1","D","11","D","","H","","A","","H","100","D","140","D","160","D","120","D","","A","","A","","A","","A","","A"
"20191","03901824","1","1","1","100","D","1","D","11","D","602","E","","A","5","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901824","1","2","1","140","D","1","D","11","D","664","E","","A","5","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901824","1","3","1","160","D","1","D","11","D","662","E","","A","5","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901824","1","4","1","120","D","1","D","11","D","126","E","","A","5","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902544","1","0","1","140","D","1","D","12","D","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902564","1","0","1","140","D","1","D","11","D","435","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902814","1","0","1","100","D","1","D","01","D","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902814","2","0","1","160","D","1","D","01","D","600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903154","1","0","1","100","D","1","D","01","D","350","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903294","1","0","1","140","D","1","D","12","D","680","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903424","1","0","2","100","D","1","D","11","D","865","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903424","2","0","2","195","D","1","D","11","D","464","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904964","1","0","1","140","D","1","D","01","D","1100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905414","1","0","1","160","D","1","D","12","D","700","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905414","2","0","2","100","D","1","D","11","D","319","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905414","3","0","2","140","D","1","D","11","D","689","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03905744","1","0","1","195","D","1","D","01","D","600","D","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906054","1","0","1","140","D","1","D","11","D","1000","D","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906174","1","0","1","195","D","1","D","12","D","1600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906334","1","0","1","195","D","1","D","01","D","480","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906534","1","0","1","195","D","1","D","01","D","1977","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906684","1","0","1","195","D","1","D","01","D","1900","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03906944","1","0","2","140","D","1","D","11","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907674","1","0","1","140","D","1","D","12","D","225","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907704","1","0","2","220","D","1","D","11","D","","H","","A","","A","120","D","140","D","","A","","A","","A","","A","","A","","A","","A"
"20191","03907704","1","1","2","120","D","1","D","11","D","454","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907704","1","2","2","140","D","1","D","11","D","1477","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907824","1","0","1","120","D","1","D","12","D","104","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03908154","1","0","1","100","D","1","D","01","D","450","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03908154","2","0","1","160","D","1","D","01","D","650","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03908534","1","0","2","140","D","1","D","11","D","636","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03909104","1","0","1","195","D","1","D","11","D","2328","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03909104","2","0","1","195","D","1","D","11","D","1500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03909494","1","0","1","100","D","1","D","11","D","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03909974","1","0","1","195","D","1","D","12","D","650","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03910764","1","0","2","140","D","1","D","11","D","2500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03911164","1","0","2","120","D","1","D","11","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912044","1","0","1","195","D","1","D","01","D","1500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912054","1","0","1","195","D","1","D","12","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912194","1","0","1","120","D","1","D","11","D","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912294","1","0","2","120","D","1","D","11","D","139","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03912554","1","0","1","120","D","1","D","12","D","450","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03922844","1","0","1","195","D","1","D","12","D","600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923534","1","0","1","195","D","1","D","01","D","1400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923934","1","0","1","195","D","1","D","01","D","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923974","1","0","1","120","D","1","D","01","D","53","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03924004","1","0","1","140","D","1","D","12","D","540","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03924004","2","0","1","160","D","1","D","12","D","360","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03924444","1","0","1","140","D","1","D","02","D","1917","D","","A","9","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925034","1","0","2","220","D","1","D","12","D","","H","","A","","A","100","D","140","D","160","D","120","D","","A","","A","","A","","A","","A"
"20191","03925034","1","1","2","100","D","1","D","12","D","5394","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925034","1","2","2","140","D","1","D","12","D","376","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925034","1","3","2","160","D","1","D","12","D","1003","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925034","1","4","2","120","D","1","D","12","D","227","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925834","1","0","1","120","D","1","D","02","D","161","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928054","1","0","1","120","D","1","D","01","D","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928424","1","0","2","120","D","1","D","12","D","77","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928504","1","0","1","195","D","1","D","02","D","650","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03928934","1","0","1","160","D","1","D","01","D","800","D","","A","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03929364","1","0","1","195","D","1","D","02","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03929364","2","0","1","140","D","1","D","02","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
