"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20191","03891224","4","0","1","150","D","13","D","200","D"
"20191","03891254","2","0","1","170","D","12","D","300","D"
"20191","03891284","7","0","1","100","D","12","D","1000","D"
"20191","03891284","8","0","1","170","D","11","D","1000","D"
"20191","03891284","9","0","1","150","D","13","D","120","D"
"20191","03891284","10","0","1","150","D","12","D","100","D"
"20191","03891384","1","0","1","150","D","13","D","80","D"
"20191","03891394","2","0","1","170","D","10","D","75","D"
"20191","03891394","3","0","1","160","D","11","D","50","D"
"20191","03891404","4","0","1","160","D","12","D","20","D"
"20191","03891404","5","0","1","160","D","13","D","20","D"
"20191","03891404","6","0","1","160","D","11","D","40","D"
"20191","03891404","7","0","2","160","D","10","D","40","D"
"20191","03891404","8","0","2","160","D","10","D","20","D"
"20191","03891504","7","0","1","170","D","12","D","20","D"
"20191","03891504","8","0","1","150","D","13","D","50","D"
"20191","03891504","9","0","1","160","D","12","D","10","D"
"20191","03891504","10","0","2","170","D","10","D","25","D"
"20191","03891604","5","0","1","170","D","12","D","500","D"
"20191","03891624","1","0","1","150","D","13","D","20","D"
"20191","03891644","7","0","1","170","D","12","D","200","D"
"20191","03891644","8","0","1","150","D","12","D","100","D"
"20191","03891654","3","0","1","150","D","13","D","1840","D"
"20191","03891714","16","0","1","150","D","13","D","125","D"
"20191","03891714","17","0","2","160","D","10","D","150","D"
"20191","03891744","2","0","1","170","D","12","D","1300","D"
"20191","03891754","3","0","1","140","D","10","D","25","D"
"20191","03891754","4","0","1","160","D","12","D","25","D"
"20191","03891774","5","0","1","170","D","12","D","200","D"
"20191","03891774","6","0","1","160","D","13","D","50","D"
"20191","03891844","9","0","1","170","D","12","D","200","D"
"20191","03891844","10","0","1","170","D","12","D","50","D"
"20191","03891844","11","0","1","170","D","11","D","100","D"
"20191","03891844","12","0","1","160","D","12","D","100","D"
"20191","03891844","13","0","1","150","D","13","D","40","D"
"20191","03891884","1","0","1","150","D","13","D","40","D"
"20191","03891934","1","0","1","160","D","11","D","200","D"
"20191","03891944","8","0","1","170","D","11","D","20","D"
"20191","03891944","9","0","1","140","D","11","D","100","D"
"20191","03891944","10","0","1","160","D","12","D","166","D"
"20191","03891944","11","0","1","160","D","11","D","350","D"
"20191","03891944","12","0","1","160","D","11","D","150","D"
"20191","03891944","13","0","1","160","D","11","D","55","D"
"20191","03891944","14","0","1","160","D","12","D","550","D"
"20191","03891944","15","0","1","160","D","12","D","250","D"
"20191","03891944","16","0","1","160","D","12","D","150","D"
"20191","03891944","17","0","1","160","D","12","D","75","D"
"20191","03891944","18","0","1","160","D","12","D","100","D"
"20191","03891944","19","0","1","160","D","12","D","100","D"
"20191","03891974","4","0","1","160","D","11","D","100","D"
"20191","03892054","7","0","1","150","D","13","D","750","D"
"20191","03892144","3","0","1","150","D","13","D","100","D"
"20191","03892234","5","0","1","160","D","12","D","1000","D"
"20191","03892234","6","0","2","160","D","10","D","1500","D"
"20191","03892254","4","0","1","110","D","13","D","400","D"
"20191","03892304","6","0","1","150","D","13","D","75","D"
"20191","03892344","9","0","1","150","D","13","D","2200","D"
"20191","03892354","2","0","1","170","D","10","D","100","D"
"20191","03892354","3","0","1","170","D","11","D","100","D"
"20191","03892354","4","0","1","170","D","12","D","2000","D"
"20191","03892354","5","0","1","150","D","13","D","150","D"
"20191","03892364","10","0","1","150","D","13","D","250","D"
"20191","03892424","2","0","1","170","D","12","D","600","D"
"20191","03892514","5","0","1","170","D","13","D","200","D"
"20191","03892514","6","0","1","170","D","12","D","600","D"
"20191","03892564","5","0","1","170","D","13","D","5000","D"
"20191","03892564","6","0","1","150","D","13","D","4000","D"
"20191","03892624","1","0","1","150","D","13","D","300","D"
"20191","03892674","7","0","1","150","D","13","D","406","F"
"20191","03892744","3","0","1","160","D","12","D","800","D"
"20191","03892794","2","0","1","170","D","12","D","300","D"
"20191","03892794","3","0","1","150","D","12","D","200","D"
"20191","03892834","17","0","1","170","D","12","D","45","D"
"20191","03892834","18","0","1","150","D","13","D","10","D"
"20191","03892844","18","0","1","170","D","12","D","150","D"
"20191","03892844","19","0","1","160","D","13","D","100","D"
"20191","03892844","20","0","1","160","D","13","D","100","D"
"20191","03892844","21","0","1","160","D","13","D","12","D"
"20191","03892984","1","0","1","170","D","12","D","150","D"
"20191","03892984","2","0","2","140","D","10","D","25","D"
"20191","03892994","3","0","1","170","D","12","D","400","D"
"20191","03892994","4","0","1","160","D","12","D","150","D"
"20191","03893054","9","0","1","170","D","12","D","150","D"
"20191","03893074","2","0","1","150","D","13","D","200","D"
"20191","03893114","4","0","1","160","D","13","D","5000","D"
"20191","03893184","3","0","1","170","D","12","D","500","D"
"20191","03893184","4","0","1","160","D","12","D","50","D"
"20191","03893214","4","0","1","170","D","12","D","1000","D"
"20191","03893234","3","0","1","140","D","13","D","30","D"
"20191","03893234","4","0","1","150","D","13","D","200","D"
"20191","03893234","5","0","1","140","D","10","D","200","D"
"20191","03893284","6","0","1","170","D","12","D","2500","D"
"20191","03893284","7","0","1","160","D","11","D","500","D"
"20191","03893334","4","0","1","170","D","12","D","1000","D"
"20191","03893394","4","0","1","160","D","13","D","53","D"
"20191","03893474","4","0","1","150","D","13","D","400","D"
"20191","03893504","5","0","1","170","D","13","D","100","D"
"20191","03893504","6","0","1","170","D","10","D","600","D"
"20191","03893504","7","0","1","160","D","13","D","14","D"
"20191","03893564","5","0","1","150","D","13","D","8","D"
"20191","03893574","3","0","1","170","D","12","D","1700","D"
"20191","03893644","11","0","1","170","D","13","D","10","D"
"20191","03893644","12","0","1","160","D","12","D","20","D"
"20191","03893654","7","0","1","170","D","13","D","200","D"
"20191","03893674","1","0","1","170","D","12","D","300","D"
"20191","03893684","8","0","1","170","D","10","D","475","D"
"20191","03893684","9","0","1","140","D","11","D","150","D"
"20191","03893684","10","0","1","130","D","11","D","400","D"
"20191","03893684","11","0","1","150","D","11","D","9332","D"
"20191","03893824","5","0","1","160","D","12","D","300","D"
"20191","03893854","9","0","1","170","D","12","D","35","D"
"20191","03893874","4","0","1","170","D","12","D","150","D"
"20191","03893874","5","0","2","170","D","10","D","100","D"
"20191","03893894","2","0","1","170","D","12","D","150","D"
