"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20191","03891134","12","0","1","350","D","1","D","2","D","13","D","","A","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891284","14","0","1","100","D","1","D","","A","13","D","","A","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891284","15","0","1","100","D","1","D","","A","13","D","","A","170","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891284","16","0","1","100","D","1","D","","A","13","D","","A","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891654","4","0","1","300","D","1","D","1","D","12","D","","A","5800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891654","5","0","2","320","D","1","D","","A","10","D","","A","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891704","21","0","1","350","D","1","D","2","D","11","D","","A","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891724","5","0","1","300","D","1","D","1","D","13","D","","A","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891724","6","0","1","350","D","1","D","1","D","10","D","","A","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891744","3","0","1","300","D","1","D","1","D","13","D","","A","3700","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891814","4","0","1","345","D","1","D","","A","11","D","","A","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891814","5","0","1","360","D","1","D","","A","12","D","","A","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891974","5","0","1","350","D","1","D","2","D","11","D","","A","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892024","8","0","1","200","D","1","D","","A","13","D","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892024","9","0","1","350","D","1","D","4","D","13","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892384","4","0","1","380","D","1","D","","A","13","D","","A","","H","340","D","200","D","","A","","A","","A","","A","","A","","A","","A"
"20191","03892384","4","1","1","200","D","1","D","","A","13","D","","A","688","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892384","4","2","1","340","D","1","D","","A","13","D","","A","112","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892774","7","0","1","300","D","1","D","1","D","13","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892844","23","0","1","200","D","1","D","","A","13","D","","A","1125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892844","24","0","1","300","D","1","D","2","D","13","D","","A","1420","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892844","25","0","1","350","D","1","D","2","D","10","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892844","26","0","1","100","D","1","D","","A","10","D","","A","385","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892844","27","0","1","100","D","1","D","","A","12","D","","A","410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03892844","28","0","1","100","D","1","D","","A","13","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
