"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","APPRPRYB","APPR_RYB","SRVCMOB","SRVCMOB_","REPAIRX","REPAIRX_","APPRPB1","APPRPB1_","APPRPB2","APPRPB2_","APPRPB3","APPRPB3_","APPRPB4","APPRPB4_","APPRPB5","APPRPB5_","APPRPB6","APPRPB6_","APPRPB7","APPRPB7_","APPRPB8","APPRPB8_","APPRPB9","EQBPURCH","APPRPB9_"
"20191","03891284","17","0","1","190","D","10","D","42","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03891284","18","0","1","190","D","11","D","42","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03891284","19","0","1","190","D","12","D","42","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03891284","20","0","2","190","D","10","D","42","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03891754","5","0","1","200","D","11","D","655","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03892144","5","0","1","110","D","12","D","185","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03892234","9","0","2","110","D","10","D","107","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03892844","32","0","1","200","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03892854","1","0","1","190","D","12","D","81","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03893504","8","0","1","220","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03893604","1","0","1","200","D","10","D","320","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03893654","9","0","1","130","D","12","D","376","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03893684","21","0","1","200","D","12","D","221","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894374","7","0","1","190","D","10","D","175","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894664","10","0","1","210","D","12","D","","H","160","D","220","D","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894664","10","1","1","160","D","12","D","121","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894664","10","2","1","220","D","12","D","300","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894664","11","0","1","220","D","12","D","126","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894664","12","0","1","110","D","12","D","310","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894914","8","0","1","200","D","10","D","31","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894914","9","0","1","200","D","11","D","31","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03894914","10","0","1","200","D","12","D","31","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03895324","7","0","1","110","D","11","D","420","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03895484","15","0","1","190","D","10","D","33","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03895484","16","0","1","190","D","11","D","33","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03895484","17","0","1","190","D","12","D","33","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03895684","4","0","1","200","D","12","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03895824","7","0","1","120","D","10","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03896124","7","0","1","200","D","10","D","96","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03896194","7","0","1","110","D","12","D","38","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03896194","8","0","1","110","D","11","D","38","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03896194","9","0","1","110","D","10","D","38","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03896424","2","0","2","200","D","10","D","170","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03896844","8","0","1","110","D","10","D","64","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03897564","17","0","1","200","D","11","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03897824","3","0","1","120","D","11","D","170","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03898104","4","0","1","130","D","11","D","109","D","","A","","A","","A","","A","","A","","A","","A","","A","","4","A"
"20191","03898244","15","0","1","130","D","12","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03898574","7","0","1","200","D","10","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03898574","8","0","1","200","D","11","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03898574","9","0","1","200","D","12","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03898694","11","0","1","190","D","11","D","219","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03898764","6","0","2","200","D","10","D","382","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
