"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","FURNRNTX","FURN_NTX","REPFURNX","REPF_RNX","REPPURCH"
"20191","03891234","1","0","1","","A","","A",""
"20191","03891494","4","0","1","105","D","","A",""
"20191","03891824","1","0","1","","A","","A",""
"20191","03893604","2","0","1","","A","4265","D",""
"20191","03893814","1","0","1","","A","","A",""
"20191","03898244","20","0","1","","A","10","D",""
"20191","03900044","15","0","1","","A","89","D",""
"20191","03901084","5","0","1","","A","20","D",""
"20191","03902584","1","0","1","","A","","A",""
"20191","03909734","1","0","1","","A","","A",""
"20191","03949573","1","0","1","","A","","A",""
"20191","03949603","4","0","1","","A","","A",""
"20191","03949833","2","0","1","","A","","A",""
"20191","03951403","22","0","1","","A","60","D",""
"20191","03952593","41","0","1","","A","20","D",""
"20191","03968663","1","0","1","","A","","A",""
"20191","03968873","28","0","1","","A","16","D",""
"20191","03970413","1","0","1","","A","","A",""
"20191","03970703","7","0","1","","A","","A",""
"20191","03973243","1","0","1","","A","","A",""
"20191","03986033","1","0","1","","A","200","D",""
"20191","03987033","16","0","1","","A","2000","D",""
"20191","03987323","31","0","1","","A","30","D",""
"20191","03987633","7","0","1","","A","75","D",""
"20191","03987923","8","0","1","","A","108","D",""
"20191","03993393","15","0","1","150","D","","A",""
"20191","03996013","4","0","1","","A","4","D",""
"20191","04009402","20","0","1","","A","120","D",""
"20191","04010172","1","0","1","","A","","A",""
"20191","04010544","3","0","1","","A","24","D",""
"20191","04013662","1","0","1","","A","","A",""
"20191","04017082","19","0","1","","A","30","D",""
"20191","04029372","5","0","1","","A","139","D",""
"20191","04031002","12","0","1","","A","225","D",""
"20191","04034782","7","0","1","246","D","","A",""
"20191","04037432","6","0","1","","A","1400","D",""
"20191","04038122","4","0","1","480","D","","A",""
"20191","04038972","3","0","1","","A","90","D",""
"20191","04043342","5","0","1","1000","D","","A",""
"20191","04044452","20","0","1","","A","10","D",""
"20191","04047302","6","0","1","255","D","","A",""
"20191","04071991","20","0","1","","A","1100","D",""
"20191","04073821","18","0","1","750","D","","A",""
"20191","04074201","19","0","1","","A","150","D",""
"20191","04074801","11","0","1","","A","60","D",""
"20191","04075771","6","0","1","339","D","","A",""
"20191","04093121","7","0","1","","A","175","D",""
"20191","04097641","13","0","1","612","D","","A",""
"20191","04098561","6","0","1","","A","100","D",""
"20191","04103741","6","0","1","300","D","","A",""
"20191","04104891","6","0","1","","A","1000","D",""
"20191","04106691","19","0","1","","A","150","D",""
"20191","04107131","10","0","1","400","D","","A",""
"20191","04109231","22","0","1","","A","110","D",""
"20192","03949574","1","0","1","","A","","A",""
"20192","03950814","15","0","1","","A","1028","D",""
"20192","03969264","7","0","1","","A","2","D",""
"20192","03973034","10","0","1","560","D","","A",""
"20192","03973244","1","0","1","","A","","A",""
"20192","04011973","6","0","1","","A","200","D",""
"20192","04016723","7","0","1","","A","80","D",""
"20192","04029423","1","0","1","","A","","A",""
"20192","04030493","1","0","1","","A","","A",""
"20192","04038553","1","0","1","","A","150","D",""
"20192","04041623","6","0","1","","A","3200","D",""
"20192","04045443","3","0","1","","A","","A",""
"20192","04047123","13","0","1","1250","D","","A",""
"20192","04047983","12","0","1","67","D","","A",""
"20192","04070632","2","0","1","","A","100","D",""
"20192","04075532","2","0","1","","A","200","D",""
"20192","04076282","18","0","1","","A","1500","D",""
"20192","04092392","4","0","1","","A","","A",""
"20192","04097642","14","0","1","930","D","","A",""
"20192","04098392","1","0","1","700","D","","A",""
"20192","04098732","8","0","1","","A","63","D",""
"20192","04105542","16","0","1","","A","50","D",""
"20192","04173291","1","0","1","","A","","A",""
"20192","04173361","7","0","1","","A","1000","D",""
"20192","04173701","1","0","1","","A","","A",""
"20192","04174171","1","0","1","","A","","A",""
"20192","04174381","12","0","1","","A","500","D",""
"20192","04176331","10","0","1","2600","D","","A",""
"20192","04178111","6","0","1","","A","350","D",""
"20192","04179311","1","0","1","","A","","A",""
"20192","04180361","1","0","1","","A","","A",""
"20192","04181641","17","0","1","","A","200","D",""
"20192","04183273","25","0","1","","A","25","D",""
"20192","04185651","4","0","1","","A","300","D",""
"20192","04185862","5","0","1","","A","40","D",""
"20192","04186621","3","0","1","","A","1500","D",""
"20192","04188521","1","0","1","","A","","A",""
"20192","04188771","20","0","1","","A","70","D",""
"20192","04190041","35","0","1","","A","30","D",""
"20192","04193461","16","0","1","","A","10","D",""
"20192","04195791","11","0","1","","A","100","D",""
"20192","04195981","4","0","1","","A","600","D",""
"20192","04196901","1","0","1","","A","","A",""
"20192","04200261","32","0","1","","A","2000","D",""
"20192","04201741","14","0","1","","A","240","D",""
"20192","04201861","9","0","1","","A","500","D",""
"20192","04202941","16","0","1","","A","100","D",""
"20192","04203881","4","0","1","","A","600","D",""
"20193","04013134","1","0","1","","A","","A",""
"20193","04029424","1","0","1","","A","","A",""
"20193","04033224","9","0","1","","A","30","D",""
"20193","04033564","2","0","1","","A","5","D",""
"20193","04034054","50","0","1","","A","82","D",""
"20193","04039644","13","0","1","","A","12","D",""
"20193","04045444","1","0","1","","A","","A",""
"20193","04048034","3","0","1","75","D","","A",""
"20193","04069693","17","0","1","","A","27","D",""
"20193","04070493","14","0","1","","A","40","D",""
"20193","04078863","6","0","1","","A","36","D",""
"20193","04093793","6","0","1","600","D","","A",""
"20193","04096643","5","0","1","","A","60","D",""
"20193","04097643","7","0","1","927","D","","A",""
"20193","04104333","2","0","1","","A","275","D",""
"20193","04107623","4","0","1","","A","110","D",""
"20193","04110293","9","0","1","200","D","","A",""
"20193","04110603","6","0","1","","A","200","D",""
"20193","04111033","10","0","1","325","D","","A",""
"20193","04173052","14","0","1","","A","25","D",""
"20193","04173392","27","0","1","","A","32","D",""
"20193","04176332","3","0","1","420","D","","A",""
"20193","04180962","2","0","1","","A","","A",""
"20193","04185072","10","0","1","","A","400","D",""
"20193","04188912","9","0","1","1200","D","","A",""
"20193","04192242","10","0","1","100","D","","A",""
"20193","04194722","10","0","1","","A","65","D",""
"20193","04196182","13","0","1","","A","1400","D",""
"20193","04214871","8","0","1","","A","10","D",""
"20193","04216541","6","0","1","","A","350","D",""
"20193","04217451","11","0","1","","A","150","D",""
"20193","04218351","22","0","1","","A","50","D",""
"20193","04218441","16","0","1","","A","800","D",""
"20193","04219201","1","0","1","","A","","A",""
"20193","04219304","4","0","1","","A","5","D",""
"20193","04221641","1","0","1","","A","","A",""
"20193","04221671","7","0","1","","A","90","D",""
"20193","04222361","7","0","1","","A","40","D",""
"20193","04224201","5","0","1","","A","375","D",""
"20193","04224391","3","0","1","","A","200","D",""
"20193","04224471","4","0","1","","A","250","D",""
"20193","04226231","1","0","1","150","D","","A",""
"20193","04228461","7","0","1","","A","60","D",""
"20193","04232121","15","0","1","","A","450","D",""
"20193","04234634","1","0","1","","A","","A",""
"20193","04236451","36","0","1","","A","10","D",""
"20193","04237451","5","0","1","","A","","A",""
"20193","04239691","7","0","1","","A","50","D",""
"20193","04240191","1","0","1","","A","","A",""
"20193","04242821","1","0","1","","A","","A",""
"20193","04243471","1","0","1","1000","D","","A",""
"20193","04244401","18","0","1","","A","50","D",""
"20194","04070434","11","0","1","","A","300","D",""
"20194","04070694","6","0","1","","A","75","D",""
"20194","04071994","14","0","1","","A","65","D",""
"20194","04072254","6","0","1","","A","100","D",""
"20194","04072604","1","0","1","","A","240","D",""
"20194","04073344","12","0","1","","A","1800","D",""
"20194","04073364","13","0","1","","A","700","D",""
"20194","04078074","2","0","1","4000","D","","A",""
"20194","04078614","17","0","1","","A","1244","D",""
"20194","04094074","8","0","1","30","D","","A",""
"20194","04097644","1","0","1","1326","D","","A",""
"20194","04099674","7","0","1","","A","15","D",""
"20194","04100954","3","0","1","89","D","","A",""
"20194","04104424","12","0","1","","A","518","D",""
"20194","04107264","15","0","1","","A","100","D",""
"20194","04109994","47","0","1","1080","D","","A",""
"20194","04110104","21","0","1","","A","30","D",""
"20194","04110654","3","0","1","","A","50","D",""
"20194","04179313","1","0","1","","A","","A",""
"20194","04179363","2","0","1","","A","","A",""
"20194","04179914","5","0","1","210","D","","A",""
"20194","04183543","11","0","1","","A","20","D",""
"20194","04186023","6","0","1","","A","180","D",""
"20194","04186253","21","0","1","","A","63","D",""
"20194","04191203","9","0","1","","A","27","D",""
"20194","04192883","14","0","1","","A","50","D",""
"20194","04194723","14","0","1","","A","30","D",""
"20194","04198783","2","0","1","450","D","","A",""
"20194","04201773","11","0","1","275","D","","A",""
"20194","04204113","4","0","1","","A","110","D",""
"20194","04216542","5","0","1","","A","350","D",""
"20194","04219862","8","0","1","","A","20","D",""
"20194","04221052","7","0","1","200","D","","A",""
"20194","04222012","8","0","1","","A","600","D",""
"20194","04222362","7","0","1","","A","50","D",""
"20194","04223132","18","0","1","140","D","","A",""
"20194","04226492","7","0","1","","A","1200","D",""
"20194","04232282","11","0","1","","A","15","D",""
"20194","04234972","14","0","1","","A","80","D",""
"20194","04235402","7","0","1","257","D","","A",""
"20194","04235792","7","0","1","","A","582","D",""
"20194","04243632","12","0","1","","A","35","D",""
"20194","04244462","7","0","1","320","D","","A",""
"20194","04270551","1","0","1","","A","","A",""
"20194","04272241","16","0","1","","A","180","D",""
"20194","04275641","7","0","1","","A","4","D",""
"20194","04275661","4","0","1","","A","25","D",""
"20194","04278421","1","0","1","","A","","A",""
"20194","04279791","6","0","1","","A","4047","D",""
"20194","04280891","3","0","1","24","D","","A",""
"20194","04281291","12","0","1","","A","20","D",""
"20194","04283291","1","0","1","","A","","A",""
"20194","04285201","2","0","1","","A","15","D",""
"20194","04286131","2","0","1","","A","20","D",""
"20194","04287141","1","0","1","","A","","A",""
"20194","04287501","23","0","1","","A","50","D",""
"20194","04288513","6","0","1","","A","40","D",""
"20194","04289213","3","0","1","105","D","","A",""
"20194","04289471","3","0","1","","A","2400","D",""
"20194","04291571","3","0","1","720","D","","A",""
"20194","04291691","9","0","1","","A","100","D",""
"20194","04292561","11","0","1","324","D","","A",""
"20194","04297431","9","0","1","","A","100","D",""
"20194","04297561","6","0","1","1999","D","","A",""
"20194","04298251","11","0","1","","A","27","D",""
"20201","04176324","8","0","1","","A","3","D",""
"20201","04177974","15","0","1","","A","60","D",""
"20201","04183544","11","0","1","","A","20","D",""
"20201","04186024","9","0","1","","A","180","D",""
"20201","04188124","11","0","1","","A","550","D",""
"20201","04191204","9","0","1","","A","14","D",""
"20201","04193414","17","0","1","","A","535","D",""
"20201","04193454","3","0","1","","A","100","D",""
"20201","04197704","2","0","1","","A","500","D",""
"20201","04198784","10","0","1","1800","D","","A",""
"20201","04199624","1","0","1","125","D","","A",""
"20201","04199794","22","0","1","","A","40","D",""
"20201","04200594","4","0","1","","A","300","D",""
"20201","04200704","4","0","1","","A","5","D",""
"20201","04217293","16","0","1","","A","100","D",""
"20201","04218823","1","0","1","","A","","A",""
"20201","04222013","22","0","1","","A","400","D",""
"20201","04226373","10","0","1","","A","35","D",""
