"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20191","03891174","9","0","5","01","D","105","D","2017","D","","A","36","D","08","D","279","D","3","D","","A","3500","D","","A","","A","","A","279","D","279","D","279","D","","A","","A","","A","","A","","A","D","","A","2017","D","NIS"
"20191","03891254","6","0","1","01","D","105","D","2017","D","","A","48","D","04","D","230","D","3","D","","A","","A","","A","","A","","A","230","D","230","D","230","D","","A","","A","","A","","A","","A","D","","A","2017","D","TOY"
"20191","03891254","7","0","1","02","D","105","D","2018","D","","A","48","D","01","D","270","D","3","D","","A","","A","","A","","A","","A","270","D","270","D","270","D","","A","","A","","A","","A","","A","D","","A","2018","D","HON"
"20191","03891394","13","0","5","01","D","105","D","2017","D","","A","36","D","10","D","345","D","3","D","","A","","A","","A","","A","","A","345","D","345","D","345","D","","A","","A","","A","","A","","A","D","","A","2017","D","HON"
"20191","03891404","31","0","5","01","D","105","D","2016","D","","A","36","D","01","D","312","D","3","D","","A","","A","1900","D","","A","10","D","312","D","","A","","A","","A","","A","","A","1900","D","770","D","D","","A","2016","D","CHE"
"20191","03891864","12","0","1","01","D","105","D","2008","D","","A","","C","10","D","255","D","3","D","","A","","A","","A","","A","","A","255","D","255","D","255","D","","A","","A","","A","","A","","A","D","","A","2018","D","NIS"
"20191","03891934","6","0","5","01","D","105","D","2015","D","","A","48","D","02","F","380","D","3","D","","A","","A","","A","","A","","A","380","D","380","D","380","D","","A","","A","","A","","A","","A","D","","A","2018","F","VOK"
"20191","03892384","14","0","5","01","D","105","D","2017","D","","A","36","D","12","D","298","D","3","D","","A","","A","4500","D","","A","","A","298","D","298","D","298","D","","A","","A","","A","4500","D","","A","D","","A","2017","D","HYU"
"20191","03892564","19","0","5","01","D","105","D","2015","D","","A","36","D","10","D","430","D","3","D","","A","","A","3000","D","","A","","A","430","D","430","D","430","D","","A","","A","","A","3000","D","","A","D","","A","2015","D","HYU"
"20191","03892564","20","0","5","02","D","105","D","2018","D","","A","36","D","12","D","416","D","3","D","","A","8000","D","","A","","A","","A","416","D","416","D","416","D","","A","","A","","A","","A","","A","D","","A","2017","D","TOY"
"20191","03892564","21","0","1","03","D","105","D","2019","D","","A","48","D","12","D","1000","D","3","D","","A","","A","2500","D","","A","","A","","A","","A","","A","","A","","A","","A","2500","D","","A","D","","A","2019","D","JEE"
"20191","03892924","5","0","5","01","D","105","D","2012","D","","A","72","D","01","D","260","D","3","D","","A","","A","2000","D","","A","","A","260","D","260","D","260","D","","A","","A","","A","2000","D","","A","D","","A","2015","D","KIA"
"20191","03893284","27","0","5","01","D","105","D","2017","D","","A","36","D","08","D","329","D","3","D","","A","","A","","A","","A","","A","329","D","329","D","329","D","","A","","A","","A","","A","","A","D","","A","2017","D","TOY"
"20191","03894294","9","0","5","01","D","105","D","2017","D","","A","36","D","12","D","500","D","3","D","","A","5000","D","","A","","A","","A","500","D","500","D","500","D","","A","","A","","A","","A","","A","D","","A","2017","D","BMW"
"20191","03894374","17","0","5","01","D","105","D","2018","D",".33","D","42","D","02","D","335","D","3","D","","A","","A","3500","D","","A","","A","335","D","335","D","335","D","","A","","A","","A","3500","D","","A","D","","A","2018","D","SUB"
"20191","03894374","19","0","1","03","D","105","D","2017","D","","A","42","D","02","D","337","D","3","D","","A","","A","","C","","A","","A","337","D","337","D","337","D","","A","","A","","A","","B","","A","D","","A","2018","D","SUB"
"20191","03895254","17","0","5","03","D","105","D","2018","D","","A","36","D","06","D","427","D","3","D","","A","","A","","A","","A","","A","427","D","427","D","427","D","","A","","A","","A","","A","","A","D","","A","2018","D","FOR"
"20191","03895324","21","0","5","01","D","105","D","2018","D","","A","36","D","08","D","550","D","3","D","","A","","A","","A","","A","","A","550","D","550","D","550","D","","A","","A","","A","","A","","A","D","","A","2018","D","LIN"
"20191","03895604","13","0","5","01","D","105","D","2013","D","","A","72","D","09","D","336","D","3","D","","A","","A","4000","D","","A","","A","336","D","336","D","336","D","","A","","A","","A","4000","D","","A","D","","A","2015","D","ACU"
"20191","03895734","16","0","5","01","D","105","D","2018","D","","A","","C","07","F","","C","","C","","A","","A","","C","","A","","A","359","F","359","F","359","F","","A","","A","","A","","B","","A","D","","A","2018","D","MIT"
"20191","03896254","12","0","5","01","D","105","D","2015","D","","A","36","D","07","D","500","D","3","D","","A","","A","","A","","A","","A","500","D","500","D","500","D","","A","","A","","A","","A","","A","D","","A","2015","D","FOR"
"20191","03896774","7","0","5","01","D","105","D","2015","D","","A","36","D","06","D","350","D","3","D","","A","","A","","A","","A","11","D","350","D","350","D","","A","","A","","A","","A","","A","","A","D","","A","2015","D","DOD"
"20191","03896834","31","0","5","01","D","105","D","2016","D","","A","36","D","10","D","355","D","3","D","","A","","A","11000","D","","A","","A","355","D","355","D","355","D","","A","","A","","A","11000","D","","A","D","","A","2016","D","BMW"
"20191","03897054","28","0","5","01","D","105","D","2017","D",".05","D","36","D","07","D","149","D","3","D","","A","","A","5000","D","","A","","A","149","D","149","D","149","D","","A","","A","","A","5000","D","","A","D","","A","2017","D","CHE"
"20191","03897054","29","0","5","02","D","105","D","2018","D",".05","D","36","D","03","D","361","D","3","D","","A","","A","5000","D","","A","","A","361","D","361","D","361","D","","A","","A","","A","5000","D","","A","D","","A","2018","D","HON"
"20191","03897374","18","0","5","02","D","105","D","2018","D","","A","36","D","03","D","425","D","3","D","","A","","A","8000","D","","A","","A","425","D","425","D","425","D","","A","","A","","A","8000","D","","A","D","","A","2018","D","GMC"
"20191","03898014","7","0","5","01","D","105","D","2018","D","","A","36","D","01","D","470","D","3","D","","A","","A","12000","D","","A","","A","470","D","470","D","470","D","","A","","A","","A","12000","D","","A","D","","A","2018","D","BMW"
"20191","03898024","24","0","1","01","D","105","D","2019","D","","A","36","D","12","D","389","D","3","D","","A","","A","2000","D","","A","","A","","A","","A","389","D","","A","","A","","A","2000","D","","A","D","","A","2018","D","LIN"
"20191","03898114","16","0","5","01","D","105","D","2010","D","","A","60","D","09","D","149","D","3","D","","A","","A","","A","","A","","A","149","D","149","D","149","D","","A","","A","","A","","A","","A","D","","A","2018","D","KIA"
"20191","03898584","6","0","5","01","D","105","D","2018","D","","A","36","D","04","D","369","D","3","D","","A","","A","","A","","A","","A","369","D","369","D","369","D","","A","","A","","A","","A","","A","D","","A","2018","D","CHR"
"20191","03898594","6","0","1","01","D","105","D","2018","D","","A","36","D","10","F","400","D","3","D","","A","","A","200","D","","A","","A","400","D","400","D","400","D","","A","","A","","A","200","D","","A","D","","A","2018","D","PLY"
"20191","03898644","13","0","5","01","D","105","D","2018","D","","A","36","D","06","D","420","D","3","D","","A","","A","3800","D","","A","","A","420","D","420","D","420","D","","A","","A","","A","3800","D","","A","D","","A","2018","D","MRB"
"20191","03898834","5","0","5","01","D","105","D","2017","D","","A","36","D","08","D","402","D","3","D","","A","","A","","A","","A","","A","402","D","402","D","402","D","","A","","A","","A","","A","","A","D","","A","2016","D","ACU"
"20191","03899104","9","0","5","01","D","105","D","2015","D","","A","42","D","06","F","300","D","3","D","","A","","A","","A","","A","","A","300","D","300","D","300","D","","A","","A","","A","","A","","A","D","","A","2016","F","HYU"
"20191","03899174","8","0","5","01","D","105","D","2017","D","","A","36","D","02","D","240","D","3","D","","A","","A","","A","","A","","A","240","D","240","D","240","D","","A","","A","","A","","A","","A","D","","A","2018","D","SUB"
"20191","03899274","20","0","5","01","D","105","D","2016","D","","A","","C","09","F","325","D","3","D","","A","","A","2000","D","","A","","A","325","D","325","D","325","D","","A","","A","","A","2000","D","","A","D","","A","2017","D","GMC"
"20191","03899444","6","0","1","01","D","105","D","2016","D","","A","36","D","06","D","350","D","3","D","","A","","A","","A","","A","","A","350","D","350","D","350","D","","A","","A","","A","","A","","A","D","","A","2018","D","HON"
"20191","03900194","9","0","5","01","D","105","D","2017","D","","A","36","D","06","D","232","D","3","D","","A","","A","1000","D","","A","","A","232","D","232","D","232","D","","A","","A","","A","1000","D","","A","D","","A","2017","D","TOY"
"20191","03900394","13","0","5","01","D","105","D","2017","D","","A","36","D","05","D","249","D","3","D","","A","","A","","A","","A","","A","249","D","249","D","249","D","","A","","A","","A","","A","","A","D","","A","2017","D","JEE"
"20191","03900804","9","0","5","01","D","105","D","2017","D","","A","36","D","02","D","360","D","3","D","","A","","A","","A","","A","","A","360","D","360","D","360","D","","A","","A","","A","","A","","A","D","","A","2017","D","MAZ"
"20191","03901184","9","0","5","01","D","105","D","2016","D","","A","48","D","04","D","161","D","3","D","","A","","A","","A","","A","","A","161","D","161","D","161","D","","A","","A","","A","","A","","A","D","","A","2016","D","SUB"
"20191","03901584","39","0","5","01","D","105","D","2017","D","","A","36","D","01","D","235","D","3","D","","A","","A","1000","D","","A","","A","235","D","235","D","235","D","","A","","A","","A","1000","D","","A","D","","A","2017","D","TOY"
"20191","03901794","16","0","1","01","D","105","D","2016","D","","A","60","D","12","D","180","D","3","D","","A","","A","","A","","A","","A","","A","","A","180","D","","A","","A","","A","","A","","A","D","","A","2018","D","VOK"
"20191","03901894","13","0","5","01","D","105","D","2017","D","","A","36","D","06","D","203","D","3","D","","A","","A","1500","D","","A","","A","203","D","203","D","203","D","25","D","25","D","25","D","1500","D","","A","D","","A","2017","D","CHE"
"20191","03901904","14","0","5","01","D","105","D","2017","D","","A","24","D","10","D","400","D","3","D","","A","","A","","A","","A","","A","400","D","400","D","400","D","","A","","A","","A","","A","","A","D","","A","2017","D","FOR"
"20191","03901904","15","0","5","02","D","105","D","2017","D","","A","36","D","05","F","500","D","3","D","","A","","A","","A","","A","","A","500","D","500","D","500","D","","A","","A","","A","","A","","A","A","","A","2017","D",""
"20191","03901924","21","0","5","01","D","105","D","2017","D","","A","36","D","02","F","311","D","3","D","","A","","C","","A","","A","","A","311","D","311","D","311","D","","A","","A","","A","","A","","A","D","","A","2016","D","FOR"
"20191","03902044","22","0","1","01","D","105","D","2018","D","","A","36","D","01","D","359","D","3","D","","A","","A","1300","D","","A","","A","","A","","A","359","D","","A","","A","","A","1300","D","","A","D","","A","2019","D","HON"
"20191","03902354","13","0","5","01","D","105","D","2017","D","","A","36","D","02","D","390","D","3","D","","A","","A","","A","","A","","A","390","D","390","D","390","D","","A","","A","","A","","A","","A","D","","A","2017","D","CHE"
"20191","03902354","14","0","5","02","D","105","D","2016","D","","A","39","D","11","D","408","D","3","D","","A","","A","","A","","A","","A","408","D","408","D","408","D","","A","","A","","A","","A","","A","D","","A","2016","D","CHE"
"20191","03902484","14","0","5","01","D","105","D","2017","D","","A","36","D","02","D","606","D","3","D","","A","","A","1000","D","","A","","A","606","D","606","D","606","D","","A","","A","","A","1000","D","","A","D","","A","2017","D","CHE"
"20191","03902484","15","0","5","02","D","105","D","","C","","A","","C","04","F","","C","","C","","A","","A","","A","","A","","A","312","F","312","F","312","F","","A","","A","","A","","A","","A","A","","A","2018","F",""
"20191","03902534","7","0","5","01","D","105","D","2017","D","","A","36","D","10","F","285","D","3","D","","A","4500","D","3000","D","","A","","A","285","D","285","D","285","D","","A","","A","","A","3000","D","","A","D","","A","2017","D","TOY"
"20191","03902774","11","0","5","01","D","105","D","2016","D","","A","48","D","03","D","400","D","3","D","","A","","A","","A","","A","","A","400","D","400","D","400","D","","A","","A","","A","","A","","A","D","","A","2016","D","GMC"
"20191","03903194","13","0","5","01","D","105","D","2017","D","","A","48","D","02","D","328","D","3","D","","A","","A","","A","","A","","A","328","D","328","D","328","D","","A","","A","","A","","A","","A","D","","A","2017","D","FOR"
"20191","03903194","14","0","5","02","D","105","D","2017","D","","A","48","D","03","D","200","D","3","D","","A","","A","","C","","A","","A","200","D","200","D","200","D","","A","","A","","A","","B","","A","D","","A","2017","D","HYU"
"20191","03903564","16","0","5","01","D","105","D","2017","D","","A","36","D","09","D","240","D","3","D","","A","1800","D","500","D","","A","","A","240","D","240","D","240","D","","A","","A","","A","500","D","","A","D","","A","2016","D","SUB"
"20191","03903754","7","0","1","01","D","105","D","2010","D","","A","2","D","01","D","4500","D","7","D","","A","","A","","A","","A","","A","","A","","A","4500","D","","A","","A","","A","","A","","A","D","","A","2019","D","CHR"
"20191","03903914","7","0","5","01","D","105","D","2017","D","","A","48","D","03","D","230","D","3","D","","A","","A","","A","","A","","A","230","D","230","D","230","D","","A","","A","","A","","A","","A","D","","A","2017","D","HON"
"20191","03903914","8","0","5","02","D","105","D","2017","D","","A","48","D","03","D","230","D","3","D","","A","","A","","A","","A","","A","230","D","230","D","230","D","","A","","A","","A","","A","","A","D","","A","2017","D","HON"
"20191","03904704","12","0","5","01","D","105","D","2007","D","","A","60","D","10","D","430","D","3","D","","A","4500","D","","A","","A","","A","430","D","430","D","430","D","","A","","A","","A","","A","","A","D","","A","2014","D","DOD"
"20191","03904704","13","0","5","02","D","105","D","2006","D","","A","36","D","09","D","260","D","3","D","","A","","A","1100","D","","A","","A","260","D","260","D","260","D","","A","","A","","A","1100","D","","A","D","","A","2018","D","DOD"
"20191","03904734","22","0","5","02","D","105","D","2019","D","","A","36","D","10","D","484","D","3","D","","A","","A","","A","","A","","A","484","D","484","D","484","D","","A","","A","","A","","A","","A","D","","A","2018","D","INF"
