"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_","MEDRPRNT","MEDR_RNT","MEDRNOUT","MEDR_OUT"
"20191","03891284","40","0","1","510","D","1","D","10","D","490","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891384","11","0","1","620","D","1","D","12","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03891714","31","0","1","330","D","1","D","12","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","25","0","1","900","D","1","D","10","D","","H","620","D","420","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","25","1","1","620","D","1","D","10","D","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","25","2","1","420","D","1","D","10","D","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","26","0","1","900","D","1","D","11","D","","H","620","D","420","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","26","1","1","620","D","1","D","11","D","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","26","2","1","420","D","1","D","11","D","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","27","0","1","900","D","1","D","12","D","","H","620","D","420","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","27","1","1","620","D","1","D","12","D","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03893054","27","2","1","420","D","1","D","12","D","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894514","7","0","1","200","D","1","D","12","D","70","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895904","18","0","1","110","D","1","D","12","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899714","25","0","1","510","D","1","D","12","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900044","32","0","1","655","D","1","D","11","D","7","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D","","A"
"20191","03902164","14","0","1","410","D","1","D","01","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03902164","15","0","1","410","D","1","D","11","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03902164","16","0","1","410","D","1","D","12","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03902484","19","0","2","200","D","1","D","11","D","1200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904594","13","0","1","200","D","1","D","12","D","710","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904884","15","0","1","530","D","1","D","12","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03907264","12","0","1","200","D","1","D","01","D","1500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03909694","14","0","1","410","D","1","D","01","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03911174","8","0","2","420","D","1","D","11","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03922894","60","0","1","200","D","1","D","02","D","550","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03922894","61","0","1","420","D","1","D","02","D","183","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03923784","10","0","1","410","D","1","D","02","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03924874","18","0","1","420","D","1","D","02","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03924954","9","0","2","620","D","1","D","12","D","42","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03925734","16","0","1","420","D","1","D","02","D","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03929544","13","0","1","410","D","1","D","02","D","13","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03945283","24","0","1","200","D","1","D","11","D","130","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946263","18","0","1","900","D","1","D","10","D","","H","420","D","330","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946263","18","1","1","420","D","1","D","10","D","412","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946263","18","2","1","330","D","1","D","10","D","1922","U","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946783","32","0","1","520","D","1","D","10","D","4491","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946783","33","0","1","520","D","1","D","11","D","4491","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946783","34","0","1","520","D","1","D","12","D","4491","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03946783","35","0","2","520","D","1","D","10","D","4491","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03947283","23","0","2","610","D","2","D","10","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03950123","8","0","1","200","D","1","D","11","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03951493","13","0","1","110","D","1","D","12","D","130","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03951523","26","0","2","420","D","1","D","10","D","59","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03954433","6","0","1","420","D","1","D","11","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03954433","7","0","1","530","D","1","D","11","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03964864","41","0","1","420","D","1","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03965163","42","0","2","620","D","1","D","11","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03966973","22","0","1","200","D","1","D","12","D","185","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03967023","11","0","1","620","D","1","D","12","D","180","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968733","36","0","1","420","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968733","37","0","1","420","D","1","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968733","38","0","1","420","D","1","D","01","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03968773","29","0","1","420","D","1","D","01","D","91","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970283","26","0","1","120","D","1","D","01","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970313","23","0","1","420","D","1","D","11","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970313","24","0","1","420","D","1","D","12","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970313","25","0","1","620","D","1","D","01","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970313","26","0","1","620","D","1","D","11","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03970313","27","0","1","620","D","1","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03971493","9","0","1","410","D","1","D","11","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","2","D"
"20191","03973103","7","0","2","620","D","2","D","11","D","142","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03987493","15","0","2","120","D","1","D","12","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03989173","25","0","1","620","D","1","D","02","D","43","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03990643","28","0","1","635","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D","","A"
"20191","03990643","29","0","1","635","D","1","D","01","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D","","A"
