"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20191","03896964","64","0","1","01","D","200","D","1","D","","A","","A","12","D","2018","D"
"20191","03898244","47","0","1","02","D","300","D","1","D","51000","D","3000","D","12","D","2018","D"
"20191","03899384","44","0","1","03","D","400","D","2","D","","A","","A","11","D","2018","D"
"20191","03904254","14","0","1","01","D","400","D","3","D","","A","","A","12","D","2018","D"
"20191","03923484","29","0","1","01","D","200","D","3","D","","A","","A","02","D","2019","D"
"20191","03927584","15","0","1","02","D","300","D","2","D","","A","","A","02","D","2019","D"
"20191","03953743","22","0","1","02","D","200","D","3","D","","A","","A","12","D","2018","D"
"20191","03954293","75","0","1","07","D","400","D","3","D","","A","","A","11","D","2018","D"
"20191","03954363","17","0","1","02","D","200","D","1","D","149500","D","20000","F","11","D","2018","D"
"20191","03973053","25","0","1","03","D","300","D","3","D","","A","","A","12","D","2018","D"
"20191","03975093","25","0","1","03","D","400","D","3","D","","A","","A","01","D","2011","D"
"20191","03987083","44","0","1","06","D","300","D","","C","","A","","A","12","D","2018","D"
"20191","04008074","22","0","1","03","D","200","D","1","D","85000","D","0","D","11","D","2018","D"
"20191","04011812","5","0","1","01","D","300","D","3","D","","A","","A","10","D","2018","D"
"20191","04015502","17","0","1","01","D","200","D","1","D","320000","D","20000","D","10","D","2018","D"
"20191","04030772","26","0","1","06","D","300","D","3","D","","A","","A","12","D","2018","D"
"20191","04038014","21","0","1","02","D","200","D","1","D","285000","D","17310","D","12","D","2018","D"
"20191","04043262","18","0","1","02","D","300","D","3","D","","A","","A","02","D","2015","D"
"20191","04046642","14","0","1","01","D","100","D","3","D","","A","","A","01","D","1998","D"
"20191","04048542","34","0","1","03","D","300","D","3","D","","A","","A","02","D","2019","D"
"20191","04072214","10","0","1","02","D","200","D","1","D","320000","F","20000","F","12","D","2018","D"
"20191","04097621","16","0","1","01","D","200","D","1","D","279000","D","5000","D","12","D","2018","D"
"20191","04106041","14","0","1","03","D","300","D","2","D","","A","","A","12","D","2018","D"
"20191","04106444","14","0","1","01","D","200","D","1","D","304200","D","2000","D","01","D","2019","D"
"20191","04110291","29","0","1","02","D","300","D","1","D","","A","","A","02","D","2018","D"
"20191","04110291","30","0","1","03","D","300","D","1","D","","A","","A","02","D","2018","D"
"20192","03972404","25","0","1","02","D","400","D","1","D","","A","","A","04","D","2018","D"
"20192","03990374","21","0","1","02","D","300","D","1","D","145000","D","13000","D","05","D","2019","D"
"20192","04027943","42","0","1","01","D","100","D","1","D","420000","D","15900","D","02","D","2019","D"
"20192","04033213","32","0","1","03","D","300","D","3","D","","A","","A","03","D","2019","D"
"20192","04044973","38","0","1","01","D","100","D","1","D","245000","D","0","D","03","D","2019","D"
"20192","04078862","22","0","1","02","D","200","D","1","D","150000","D","3000","F","02","D","2019","D"
"20192","04079572","23","0","1","02","D","300","D","1","D","100000","D","200","D","02","D","2019","D"
