"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20191","03892064","17","0","1","110","D","4","D","10","D","","A","8000","D","","A","1","D","4000","D","01","D"
"20191","03893234","36","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03893334","38","0","1","100","D","4","D","11","D","","A","6720","D","","A","2","D","","A","01","D"
"20191","03893484","17","0","1","110","D","1","D","12","D","800","D","","A","","A","2","D","","A","01","D"
"20191","03893854","31","0","1","110","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03894094","23","0","1","110","D","4","D","10","D","","A","200","D","","A","2","D","","A","01","D"
"20191","03894854","28","0","1","100","D","6","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03895024","4","0","1","100","D","","C","11","D","","A","","A","","A","","C","","A","01","D"
"20191","03895484","40","0","1","100","D","1","D","10","D","5000","D","","A","","A","2","D","","A","03","D"
"20191","03895524","13","0","1","100","D","6","D","11","D","","A","","A","","A","","C","","A","01","D"
"20191","03895524","14","0","1","100","D","6","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03895904","36","0","1","100","D","4","D","12","D","","A","11770","D","","A","2","D","","A","01","D"
"20191","03896714","11","0","1","100","D","1","D","11","D","3500","D","","A","","A","2","D","","A","02","D"
"20191","03896734","14","0","1","100","D","3","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03896904","13","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03897114","23","0","2","110","D","6","D","10","D","","A","","A","","A","2","D","","A","02","D"
"20191","03897764","21","0","1","110","D","2","D","10","D","","A","","A","","A","2","D","","A","02","D"
"20191","03897764","22","0","1","110","D","2","D","10","D","","A","","A","","A","2","D","","A","03","D"
"20191","03898114","23","0","2","110","D","1","D","10","D","600","D","","A","","A","2","D","","A","01","D"
"20191","03898424","34","0","1","150","D","6","D","12","D","","A","","A","","A","","C","","A","02","D"
"20191","03898784","45","0","1","100","D","1","D","11","D","2000","D","","A","","A","2","D","","A","04","D"
"20191","03899004","13","0","1","100","D","4","D","10","D","","A","200","D","","A","2","D","","A","01","D"
"20191","03899794","19","0","1","100","D","4","D","12","D","","A","2500","D","","A","2","D","","A","01","D"
"20191","03900884","77","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03901084","20","0","1","110","D","1","D","11","D","1000","D","","A","","A","2","D","","A","01","D"
"20191","03901384","26","0","1","110","D","2","D","11","D","","A","","A","","A","1","D","53000","D","01","D"
"20191","03901734","18","0","1","110","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03901794","31","0","1","100","D","1","D","12","D","4500","D","","A","","A","2","D","","A","02","D"
"20191","03901804","19","0","1","100","D","1","D","12","D","500","D","","A","","A","2","D","","A","01","D"
"20191","03902044","37","0","1","100","D","1","D","01","D","8000","D","","A","","A","2","D","","A","01","D"
"20191","03902054","23","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03903164","35","0","1","170","D","6","D","01","D","","A","","A","","A","2","D","","A","05","D"
"20191","03903924","62","0","1","110","D","2","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03904774","42","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03904964","41","0","1","100","D","4","D","01","D","","A","5800","D","","A","2","D","","A","03","D"
"20191","03905174","37","0","1","100","D","6","D","12","D","","A","","A","","A","1","D","","A","02","D"
"20191","03905174","38","0","1","100","D","6","D","12","D","","A","","A","","A","2","D","","A","03","D"
"20191","03905694","20","0","1","100","D","3","D","11","D","","A","","A","","A","1","D","","A","01","D"
"20191","03905984","16","0","1","110","D","2","D","12","D","","A","","A","","A","2","D","","A","02","D"
"20191","03906174","31","0","1","110","D","1","D","12","D","4500","D","","A","","A","2","D","","A","03","D"
"20191","03906464","39","0","1","100","D","1","D","01","D","3000","D","","A","","A","2","D","","A","02","D"
"20191","03906984","47","0","1","180","D","6","D","01","D","","A","","A","","A","2","D","","A","06","D"
"20191","03907034","28","0","1","100","D","2","D","11","D","","A","","A","","A","1","D","4300","D","02","D"
"20191","03907064","9","0","1","110","D","6","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03907094","34","0","2","110","D","3","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03907184","18","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03907264","24","0","1","110","D","4","D","12","D","","A","15000","D","","A","2","D","","A","03","D"
"20191","03907614","42","0","1","110","D","2","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03908124","45","0","1","110","D","1","D","01","D","600","F","","A","","A","2","D","","A","06","D"
"20191","03908364","14","0","1","100","D","4","D","01","D","","A","10600","D","","A","1","D","","A","02","D"
"20191","03909084","26","0","1","100","D","6","D","11","D","","A","","A","","A","2","D","","A","05","D"
"20191","03909564","18","0","1","100","D","2","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03909804","17","0","1","100","D","4","D","11","D","","A","20000","D","","A","1","D","14500","D","01","D"
"20191","03910254","15","0","1","110","D","2","D","01","D","","A","","A","","A","2","D","","A","01","D"
