"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20191","03893234","44","0","1","1","D","","H","","A"
"20191","03893234","44","1","1","","A","20","E","100","D"
"20191","03893234","44","2","1","","A","5","E","110","D"
"20191","03893574","29","0","1","2","D","","H","","A"
"20191","03893574","29","1","1","","A","268","E","100","D"
"20191","03893574","29","2","1","","A","106","E","110","D"
"20191","03893574","29","3","1","","A","134","E","120","D"
"20191","03893574","29","4","1","","A","834","E","130","D"
"20191","03893574","29","5","1","","A","45","E","140","D"
"20191","03893574","29","6","1","","A","621","E","150","D"
"20191","03893574","29","7","1","","A","182","E","160","D"
"20191","03893574","29","8","1","","A","310","E","190","D"
"20191","03893704","9","0","1","1","D","","H","","A"
"20191","03893704","9","1","1","","A","224","G","100","D"
"20191","03893704","9","2","1","","A","178","G","110","D"
"20191","03893704","9","3","1","","A","198","G","120","D"
"20191","03893704","9","4","1","","A","12","G","140","D"
"20191","03893704","9","5","1","","A","1665","G","150","D"
"20191","03893704","9","6","1","","A","76","G","170","D"
"20191","03893704","9","7","1","","A","127","G","190","D"
"20191","03893704","9","8","1","","A","260","G","210","D"
"20191","03894374","36","0","1","1","D","","H","","A"
"20191","03894374","36","1","1","","A","43","E","120","D"
"20191","03894374","36","2","1","","A","110","E","130","D"
"20191","03894374","36","3","1","","A","6","E","140","D"
"20191","03894374","36","4","1","","A","231","E","150","D"
"20191","03894374","36","5","1","","A","38","E","190","D"
"20191","03894374","36","6","1","","A","25","E","200","D"
"20191","03894374","36","7","1","","A","83","E","210","D"
"20191","03894374","36","8","1","","A","89","E","220","D"
"20191","03894474","17","0","1","1","D","","H","","A"
"20191","03894474","17","1","1","","A","12","E","120","D"
"20191","03894474","17","2","1","","A","328","E","150","D"
"20191","03894474","17","3","1","","A","52","E","160","D"
"20191","03894474","17","4","1","","A","2","E","170","D"
"20191","03894474","17","5","1","","A","6","E","190","D"
"20191","03894674","35","0","1","1","D","","H","","A"
"20191","03894674","35","1","1","","A","18","E","100","D"
"20191","03894674","35","2","1","","A","10","E","110","D"
"20191","03895824","32","0","1","1","D","","H","","A"
"20191","03895824","32","1","1","","A","50","E","100","D"
"20191","03895824","32","2","1","","A","40","E","110","D"
"20191","03896254","24","0","1","1","D","","H","","A"
"20191","03896254","24","1","1","","A","221","E","100","D"
"20191","03896254","24","2","1","","A","87","E","110","D"
"20191","03896254","24","3","1","","A","692","E","130","D"
"20191","03897284","7","0","1","1","D","","H","","A"
"20191","03897284","7","1","1","","A","43","E","100","D"
"20191","03897284","7","2","1","","A","10","E","110","D"
"20191","03897284","7","3","1","","A","30","E","120","D"
"20191","03897284","7","4","1","","A","11","E","140","D"
"20191","03897284","7","5","1","","A","276","E","150","D"
"20191","03897284","7","6","1","","A","6","E","160","D"
"20191","03897284","7","7","1","","A","24","E","190","D"
"20191","03898644","30","0","1","1","D","","H","","A"
"20191","03898644","30","1","1","","A","62","E","100","D"
"20191","03898644","30","2","1","","A","16","E","110","D"
"20191","03898644","30","3","1","","A","20","E","120","D"
"20191","03898644","30","4","1","","A","8","E","140","D"
"20191","03898644","30","5","1","","A","171","E","150","D"
"20191","03898644","30","6","1","","A","4","E","160","D"
"20191","03898644","30","7","1","","A","19","E","190","D"
"20191","03898944","30","0","1","1","D","","H","","A"
"20191","03898944","30","1","1","","A","14","E","100","D"
"20191","03898944","30","2","1","","A","3","E","110","D"
"20191","03899574","37","0","1","1","D","","H","","A"
"20191","03899574","37","1","1","","A","22","E","100","D"
"20191","03899574","37","2","1","","A","6","E","110","D"
"20191","03899574","37","3","1","","A","10","E","120","D"
"20191","03899574","37","4","1","","A","55","E","130","D"
"20191","03899574","37","5","1","","A","3","E","140","D"
"20191","03899574","37","6","1","","A","63","E","150","D"
"20191","03899574","37","7","1","","A","1","E","160","D"
"20191","03899574","37","8","1","","A","7","E","190","D"
"20191","03900444","34","0","1","2","D","","H","","A"
"20191","03900444","34","1","1","","A","250","E","100","D"
"20191","03900444","34","2","1","","A","144","E","110","D"
"20191","03900444","34","3","1","","A","142","E","120","D"
"20191","03900444","34","4","1","","A","39","E","140","D"
"20191","03900444","34","5","1","","A","1158","E","150","D"
"20191","03900444","34","6","1","","A","45","E","160","D"
"20191","03900444","34","7","1","","A","45","E","170","D"
"20191","03900444","34","8","1","","A","177","E","190","D"
"20191","03900564","27","0","1","2","D","","H","","A"
"20191","03900564","27","1","1","","A","68","E","100","D"
"20191","03900564","27","2","1","","A","39","E","110","D"
"20191","03900564","27","3","1","","A","37","E","120","D"
"20191","03900564","27","4","1","","A","10","E","140","D"
"20191","03900564","27","5","1","","A","319","E","150","D"
"20191","03900564","27","6","1","","A","12","E","160","D"
"20191","03900564","27","7","1","","A","12","E","170","D"
"20191","03900564","27","8","1","","A","48","E","190","D"
"20191","03900564","27","9","1","","A","65","E","200","D"
"20191","03900564","27","10","1","","A","59","E","210","D"
"20191","03900564","27","11","1","","A","31","E","220","D"
"20191","03900744","19","0","1","1","D","","H","","A"
"20191","03900744","19","1","1","","A","33","E","100","D"
"20191","03900744","19","2","1","","A","7","E","110","D"
