"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20191","03893654","53","0","1","","H","","A"
"20191","03893654","53","1","1","5","E","120","D"
"20191","03893654","53","2","1","16","E","150","D"
"20191","03893654","53","3","1","4","E","160","D"
"20191","03893654","53","4","1","1","E","170","D"
"20191","03893654","53","5","1","322","E","180","D"
"20191","03893654","53","6","1","2","E","190","D"
"20191","03897374","39","0","1","","H","","A"
"20191","03897374","39","1","1","149","E","100","D"
"20191","03897374","39","2","1","55","E","110","D"
"20191","03897374","39","3","1","74","E","120","D"
"20191","03897374","39","4","1","367","E","130","D"
"20191","03897374","39","5","1","14","E","140","D"
"20191","03897374","39","6","1","404","E","150","D"
"20191","03897374","39","7","1","58","E","160","D"
"20191","03897374","39","8","1","32","E","170","D"
"20191","03897374","39","9","1","85","E","180","D"
"20191","03897374","39","10","1","62","E","190","D"
"20191","03899324","31","0","1","","H","","A"
"20191","03899324","31","1","1","173","E","100","D"
"20191","03899324","31","2","1","39","E","110","D"
"20191","03899324","31","3","1","59","E","120","D"
"20191","03899324","31","4","1","362","E","130","D"
"20191","03899324","31","5","1","13","E","140","D"
"20191","03899324","31","6","1","431","E","150","D"
"20191","03899324","31","7","1","113","E","160","D"
"20191","03899324","31","8","1","79","E","170","D"
"20191","03899324","31","9","1","153","E","180","D"
"20191","03899324","31","10","1","97","E","190","D"
"20191","03899324","31","11","1","87","E","200","D"
"20191","03899324","31","12","1","69","E","210","D"
"20191","03899324","31","13","1","325","E","220","D"
"20191","03901254","98","0","1","","H","","A"
"20191","03901254","98","1","1","202","E","100","D"
"20191","03901254","98","2","1","46","E","110","D"
"20191","03901254","98","3","1","54","E","120","D"
"20191","03901254","98","4","1","347","E","130","D"
"20191","03901254","98","5","1","10","E","140","D"
"20191","03901254","98","6","1","515","E","150","D"
"20191","03901254","98","7","1","84","E","160","D"
"20191","03901254","98","8","1","24","E","170","D"
"20191","03901254","98","9","1","274","E","180","D"
"20191","03901254","98","10","1","63","E","190","D"
"20191","03901254","98","11","1","77","E","200","D"
"20191","03901254","98","12","1","171","E","210","D"
"20191","03901254","98","13","1","133","E","220","D"
"20191","03901354","41","0","1","","H","","A"
"20191","03901354","41","1","1","16","E","120","D"
"20191","03901354","41","2","1","3","E","140","D"
"20191","03901354","41","3","1","122","E","150","D"
"20191","03901354","41","4","1","11","E","160","D"
