"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20191","03894884","49","0","1","1","D","72","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895884","16","0","1","1","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","50","D"
"20191","03897194","54","0","1","3","D","211","G","21","G","","A","","A","1","D","1","D","2","D","2","D","68","G","","A"
"20191","03898574","30","0","1","12","D","4126","G","676","G","","A","1717","G","1","D","1","D","1","D","2","D","1681","G","","A"
"20191","03900974","24","0","1","2","D","160","D","","A","20","D","","A","","A","","A","","A","","A","60","D","20","D"
"20191","03901354","42","0","1","2","D","400","D","100","D","","A","","A","","A","","A","","A","","A","300","D","","A"
"20191","03901924","33","0","1","1","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904704","18","0","1","1","D","115","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03908544","32","0","1","1","D","","A","15","D","","A","","A","","A","","A","","A","","A","25","D","","A"
"20191","03910954","35","0","1","1","D","76","G","11","G","","A","","A","1","D","1","D","2","D","2","D","28","G","","A"
"20191","03912194","44","0","1","1","D","","A","40","D","","A","","A","","A","","A","","A","","A","160","D","","A"
"20191","03923724","28","0","1","12","D","720","D","","A","","A","","A","","A","","A","","A","","A","900","D","","A"
"20191","03925394","36","0","1","2","D","172","D","","A","","A","","A","","A","","A","","A","","A","40","D","","A"
"20191","03928484","37","0","1","1","D","100","D","","A","","A","","A","","A","","A","","A","","A","80","D","","A"
"20191","03929424","43","0","1","2","D","157","D","50","D","","A","","A","","A","","A","","A","","A","51","D","20","D"
"20191","03929424","44","0","1","2","D","153","D","39","D","","A","","A","","A","","A","","A","","A","0","D","","A"
"20191","03931284","48","0","1","2","D","400","D","","A","","A","","A","","A","","A","","A","","A","150","D","","A"
"20191","03945293","48","0","1","1","D","157","D","100","D","","A","","A","","A","","A","","A","","A","240","D","","A"
"20191","03947023","42","0","1","1","D","76","G","11","G","","A","","A","1","D","1","D","2","D","2","D","63","G","","A"
"20191","03948943","32","0","1","1","D","155","G","19","G","","A","","A","1","D","1","D","2","D","2","D","86","G","","A"
"20191","03949513","30","0","1","4","D","140","D","","A","","A","97","D","","A","","A","","A","","A","80","D","","A"
"20191","03966103","59","0","1","1","D","125","D","","A","","A","","A","","A","","A","","A","","A","100","D","","A"
"20191","03968563","55","0","1","3","D","120","D","","A","","A","","A","","A","","A","","A","","A","70","D","","A"
"20191","03968563","56","0","1","1","D","60","D","","A","","A","","A","","A","","A","","A","","A","80","D","","A"
"20191","03969083","26","0","1","1","D","188","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03969453","26","0","1","2","D","","A","","A","","A","","A","1","D","1","D","1","D","2","D","30","D","","A"
"20191","03971363","16","0","1","1","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03975213","20","0","1","4","D","354","D","","A","","A","30","D","","A","","A","","A","","A","250","D","","A"
"20191","03987223","27","0","1","1","D","","A","","A","","A","","A","2","D","1","D","2","D","2","D","30","D","","A"
"20191","03987323","71","0","1","1","D","384","D","","A","","A","","A","","A","","A","","A","","A","100","D","","A"
"20191","03988063","52","0","1","1","D","149","D","","A","","A","","A","","A","","A","","A","","A","80","D","","A"
"20191","03989993","42","0","1","6","D","","A","200","D","","A","","A","","A","","A","","A","","A","800","D","","A"
"20191","03990903","29","0","1","10","D","3838","G","434","G","","A","","A","1","D","1","D","2","D","2","D","1057","G","","A"
"20191","03993823","38","0","1","2","D","136","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03994863","18","0","1","1","D","110","D","","A","","A","","A","","A","","A","","A","","A","5","D","","A"
"20191","04006932","16","0","1","1","D","","A","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20191","04009092","24","0","1","1","D","218","D","22","D","","A","","A","","A","","A","","A","","A","96","D","","A"
"20191","04009392","62","0","1","1","D","99","D","","A","","A","","A","","A","","A","","A","","A","40","D","","A"
"20191","04009582","39","0","1","2","D","250","D","","A","","A","","A","","A","","A","","A","","A","80","D","","A"
"20191","04009582","40","0","1","2","D","250","D","","A","","A","","A","","A","","A","","A","","A","80","D","","A"
"20191","04014402","20","0","1","1","D","134","D","","A","7","D","","A","","A","","A","","A","","A","","A","13","D"
"20191","04014732","44","0","1","1","D","200","D","","A","","A","","A","","A","","A","","A","","A","100","D","","A"
"20191","04015362","43","0","1","1","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04027952","17","0","1","21","D","1155","D","","A","","A","","A","","A","","A","","A","","A","","A","250","D"
"20191","04034602","33","0","1","2","D","600","D","50","D","","A","200","D","","A","","A","","A","","A","350","D","","A"
"20191","04035983","14","0","1","10","D","600","D","","A","","A","","A","","A","","A","","A","","A","300","D","","A"
"20191","04037022","21","0","1","2","D","185","G","53","G","","A","66","G","1","D","1","D","1","D","2","D","146","G","","A"
"20191","04038252","95","0","1","1","D","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04038452","15","0","1","10","D","","A","","A","","A","","A","","A","","A","","A","","A","2500","D","","A"
"20191","04038612","61","0","1","2","D","484","G","50","D","","A","216","G","2","D","1","D","1","D","1","D","100","D","","A"
"20191","04041432","29","0","1","5","D","780","G","","A","","A","","A","2","D","1","D","2","D","2","D","250","D","80","D"
"20191","04041432","30","0","1","4","D","840","G","","A","","A","52","D","2","D","1","D","2","D","2","D","130","D","75","D"
"20191","04044902","6","0","1","2","D","","A","","A","","A","","A","","A","","A","","A","","A","70","D","","A"
"20191","04045762","30","0","1","1","D","230","D","10","D","","A","","A","","A","","A","","A","","A","15","D","","A"
"20191","04047362","28","0","1","1","D","40","G","4","G","","A","18","G","1","D","1","D","1","D","2","D","13","G","","A"
"20191","04048722","31","0","1","3","D","580","G","25","D","","A","","A","2","D","1","D","2","D","1","D","125","D","","A"
"20191","04069811","18","0","1","1","D","","A","","A","","A","150","D","","A","","A","","A","","A","20","D","","A"
"20191","04073031","40","0","1","1","D","100","D","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20191","04073191","72","0","1","1","D","75","D","","A","","A","","A","","A","","A","","A","","A","100","D","","A"
"20191","04073491","21","0","1","4","D","1526","G","195","G","","A","665","G","1","D","1","D","1","D","2","D","614","G","","A"
"20191","04073561","12","0","1","7","D","","A","25","F","","A","","A","","A","","A","","A","","A","75","F","","A"
"20191","04076851","19","0","1","2","D","","A","","A","","A","","A","","A","","A","","A","","A","40","D","40","D"
"20191","04078091","18","0","1","2","D","280","D","","A","","A","","A","","A","","A","","A","","A","60","D","","A"
"20191","04078781","14","0","1","7","D","","A","","A","","A","","A","","A","","A","","A","","A","300","D","","A"
"20191","04078841","21","0","1","3","D","","A","","A","","A","","A","","A","","A","","A","","A","40","D","","A"
"20191","04079051","20","0","1","2","D","70","D","150","D","","A","","A","","A","","A","","A","","A","50","D","","A"
"20191","04079141","43","0","1","1","D","82","D","","A","","A","","A","","A","","A","","A","","A","30","D","","A"
"20191","04079141","44","0","1","1","D","82","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04079581","32","0","1","10","D","2000","D","200","D","","A","","A","","A","","A","","A","","A","300","D","","A"
"20191","04091551","12","0","1","1","D","100","D","","A","","A","200","D","","A","","A","","A","","A","15","D","10","D"
"20191","04091981","32","0","1","2","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04092401","31","0","1","1","D","130","D","10","D","","A","","A","","A","","A","","A","","A","90","D","","A"
"20191","04092551","45","0","1","4","D","616","D","","A","","A","","A","","A","","A","","A","","A","","A","120","D"
