"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","FONPURCH","INTAWAY","INTAWAY_","INTAWYX","INTAWYX_","FONCARDX","FONC_RDX","PRPYCELL","PRPY_ELL","PRPYCLX","PRPYCLX_"
"20191","03891134","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03891154","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03891174","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03891224","44","0","1","","2","D","","A","","A","","A","","A"
"20191","03891234","3","0","1","","","C","","A","","A","","A","","A"
"20191","03891244","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03891254","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03891284","78","0","1","","2","D","","A","","A","","A","","A"
"20191","03891354","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03891384","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03891394","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03891404","64","0","1","","2","D","","A","","A","","A","","A"
"20191","03891464","33","0","1","","2","D","","A","","A","","A","","A"
"20191","03891494","14","0","1","","2","D","","A","","A","","A","","A"
"20191","03891504","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03891534","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03891564","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03891604","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03891624","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03891634","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03891644","54","0","1","","2","D","","A","","A","","A","","A"
"20191","03891654","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03891704","64","0","1","","2","D","","A","","A","","A","","A"
"20191","03891714","62","0","1","","2","D","","A","","A","","A","","A"
"20191","03891724","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03891744","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03891754","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03891774","46","0","1","","2","D","","A","","A","","A","","A"
"20191","03891814","21","0","1","","2","D","","A","","A","","A","","A"
"20191","03891824","5","0","1","","","C","","A","","A","","A","","A"
"20191","03891834","8","0","1","","2","D","","A","","A","","A","","A"
"20191","03891844","51","0","1","","2","D","","A","","A","","A","","A"
"20191","03891854","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03891864","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03891874","22","0","1","","","C","","A","","A","","A","","A"
"20191","03891884","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03891934","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03891944","86","0","1","","2","D","","A","","A","","A","","A"
"20191","03891974","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03892024","27","0","1","","2","D","","A","","A","","A","","A"
"20191","03892034","38","0","1","","2","D","","A","","A","","A","","A"
"20191","03892044","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03892054","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03892064","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03892084","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03892104","30","0","1","","2","D","","A","","A","","A","","A"
"20191","03892114","27","0","1","","2","D","","A","","A","","A","","A"
"20191","03892144","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03892204","30","0","1","","2","D","","A","","A","","A","","A"
"20191","03892234","40","0","1","","2","D","","A","","A","","A","","A"
"20191","03892244","61","0","1","","2","D","","A","","A","","A","","A"
"20191","03892254","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03892284","13","0","1","","2","D","","A","","A","","A","","A"
