"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20191","03891254","16","0","1","420","D","10","D","54","D","","A","","A","","A","","A"
"20191","03891384","28","0","1","420","D","11","D","54","D","","A","","A","","A","","A"
"20191","03891404","69","0","1","420","D","11","D","85","D","","A","","A","","A","","A"
"20191","03891504","27","0","1","400","D","12","D","50","D","","A","","A","","A","","A"
"20191","03891564","24","0","1","410","D","11","D","20","D","","A","","A","","A","","A"
"20191","03891564","25","0","1","420","D","11","D","70","D","","A","","A","","A","","A"
"20191","03891624","29","0","1","410","D","12","D","32","D","","A","","A","","A","","A"
"20191","03891624","30","0","1","410","D","11","D","20","F","","A","","A","","A","","A"
"20191","03891624","31","0","1","430","D","12","D","","H","425","D","405","D","415","D","","A"
"20191","03891624","31","1","1","405","D","12","D","18","E","","A","","A","","A","","A"
"20191","03891624","31","2","1","420","D","12","D","24","E","","A","","A","","A","","A"
"20191","03891634","23","0","1","400","D","11","D","25","D","","A","","A","","A","","A"
"20191","03891654","37","0","1","410","D","12","D","20","D","","A","","A","","A","","A"
"20191","03891754","32","0","1","405","D","11","D","421","D","","A","","A","","A","","A"
"20191","03891814","23","0","1","420","D","12","D","350","D","","A","","A","","A","","A"
"20191","03891864","24","0","1","410","D","10","D","16","D","","A","","A","","A","","A"
"20191","03892034","39","0","1","420","D","11","D","75","D","","A","","A","","A","","A"
"20191","03892044","24","0","2","405","D","10","D","53","D","","A","","A","","A","","A"
"20191","03892064","25","0","1","405","D","11","D","465","D","","A","","A","","A","","A"
"20191","03892344","49","0","1","420","D","12","D","110","D","","A","","A","","A","","A"
"20191","03892344","50","0","2","420","D","10","D","130","D","","A","","A","","A","","A"
"20191","03892414","19","0","2","420","D","10","D","250","D","","A","","A","","A","","A"
"20191","03892564","53","0","1","420","D","12","D","600","D","","A","","A","","A","","A"
"20191","03892614","24","0","1","420","D","10","D","200","D","","A","","A","","A","","A"
"20191","03892744","35","0","1","420","D","11","D","200","F","","A","","A","","A","","A"
"20191","03892814","23","0","1","430","D","10","D","","H","415","D","410","D","","A","","A"
"20191","03892814","23","1","1","420","D","10","D","12","E","","A","","A","","A","","A"
"20191","03892814","23","2","1","410","D","10","D","2","E","","A","","A","","A","","A"
"20191","03892834","63","0","1","400","D","10","D","32","D","","A","","A","","A","","A"
"20191","03892834","64","0","1","420","D","11","D","535","D","","A","","A","","A","","A"
"20191","03892834","65","0","1","420","D","12","D","261","D","","A","","A","","A","","A"
"20191","03892854","26","0","1","420","D","10","D","90","D","","A","","A","","A","","A"
"20191","03892894","28","0","1","410","D","12","D","7","D","","A","","A","","A","","A"
"20191","03892894","29","0","1","420","D","12","D","75","D","","A","","A","","A","","A"
"20191","03893164","20","0","1","420","D","10","D","80","D","","A","","A","","A","","A"
"20191","03893184","26","0","1","410","D","10","D","47","D","","A","","A","","A","","A"
"20191","03893234","51","0","1","410","D","11","D","35","D","","A","","A","","A","","A"
"20191","03893234","52","0","1","420","D","11","D","100","D","","A","","A","","A","","A"
"20191","03893314","29","0","1","430","D","10","D","","H","425","D","405","D","415","D","","A"
"20191","03893314","29","1","1","405","D","10","D","19","E","","A","","A","","A","","A"
"20191","03893314","29","2","1","420","D","10","D","206","E","","A","","A","","A","","A"
"20191","03893334","51","0","1","405","D","10","D","200","D","","A","","A","","A","","A"
"20191","03893604","34","0","2","405","D","10","D","228","D","","A","","A","","A","","A"
"20191","03893624","27","0","1","410","D","12","D","10","D","","A","","A","","A","","A"
"20191","03893624","28","0","1","420","D","12","D","70","D","","A","","A","","A","","A"
"20191","03893944","63","0","1","405","D","12","D","87","D","","A","","A","","A","","A"
"20191","03893974","19","0","1","405","D","11","D","24","D","","A","","A","","A","","A"
"20191","03894014","47","0","1","420","D","11","D","500","D","","A","","A","","A","","A"
"20191","03894014","48","0","1","400","D","11","D","40","D","","A","","A","","A","","A"
"20191","03894014","49","0","2","400","D","10","D","40","D","","A","","A","","A","","A"
"20191","03894054","13","0","1","400","D","11","D","85","D","","A","","A","","A","","A"
"20191","03894104","38","0","1","420","D","12","D","180","D","","A","","A","","A","","A"
"20191","03894114","40","0","1","400","D","11","D","25","D","","A","","A","","A","","A"
"20191","03894114","41","0","1","430","D","11","D","","H","410","D","415","D","","A","","A"
"20191","03894114","41","1","1","410","D","11","D","12","E","","A","","A","","A","","A"
"20191","03894114","41","2","1","420","D","11","D","78","E","","A","","A","","A","","A"
"20191","03894114","42","0","1","405","D","11","D","150","D","","A","","A","","A","","A"
"20191","03894234","20","0","1","430","D","10","D","","H","415","D","405","D","410","D","","A"
"20191","03894234","20","1","1","420","D","10","D","69","E","","A","","A","","A","","A"
"20191","03894234","20","2","1","405","D","10","D","48","E","","A","","A","","A","","A"
"20191","03894234","20","3","1","410","D","10","D","13","E","","A","","A","","A","","A"
"20191","03894294","25","0","1","400","D","12","D","40","D","","A","","A","","A","","A"
"20191","03894354","34","0","1","410","D","11","D","80","D","","A","","A","","A","","A"
"20191","03894604","42","0","1","420","D","11","D","74","D","","A","","A","","A","","A"
"20191","03894604","43","0","1","410","D","11","D","35","D","","A","","A","","A","","A"
"20191","03894674","40","0","1","405","D","12","D","68","D","","A","","A","","A","","A"
"20191","03894734","63","0","1","420","D","12","D","25","D","","A","","A","","A","","A"
"20191","03894734","64","0","1","420","D","12","D","130","D","","A","","A","","A","","A"
"20191","03894784","38","0","1","420","D","12","D","75","F","","A","","A","","A","","A"
"20191","03894784","39","0","2","400","D","10","D","7","D","","A","","A","","A","","A"
"20191","03894794","16","0","1","405","D","11","D","50","D","","A","","A","","A","","A"
"20191","03894804","21","0","1","420","D","12","D","39","D","","A","","A","","A","","A"
"20191","03894854","38","0","1","410","D","11","D","50","D","","A","","A","","A","","A"
"20191","03894854","39","0","1","420","D","12","D","200","D","","A","","A","","A","","A"
